id,name,votes,rating,phone,address,zip,cuisine
45,Gyu-Kaku Japanese BBQ,18,4.5,(312) 982-2840,1364 W. Randolph St,60607,Japanese
46,Bottlefork,437,4,(312) 955-1900,441 N Clark,60626,American (New)
47,Goosefoot,185,4.5,(773) 942-7547,2656 W Lawrence Ave,60625,American (New)
48,Revolution Brewing,1614,4,(773) 227-2739,2323 N Milwaukee Ave,60647,Breweries
49,El Habanero,171,4.5,(773) 227-9225,3300 W Fullerton Ave,60647,Mexican
50,Sunset Pho Caffe,57,4.5,(773) 275-2327,5726 N Western Ave,60659,Lounges
51,Nookies,441,4,(312) 337-2454,1746 N Wells St,60614,Breakfast & Brunch
52,Range,129,4,(773) 549-5747,1119 W Webster,60614,American (Traditional)
53,Topo Gigio Ristorante,567,4,(312) 266-9355,1516 N Wells St,60610,Italian
54,Farmhouse,832,4,(312) 280-4960,228 W Chicago Ave,60654,American (Traditional)
55,Briciola,241,4,(773) 772-0889,937 N Damen,60622,Italian
56,Pearl’s Southern Comfort,127,4,(773) 754-7419,5352 N Broadway St,60640,Southern
57,Wyler Road,39,4,(773) 661-0675,3581 W Belden Ave,60647,Bars
58,Nick’s On North,44,4.5,(773) 292-6425,3323 W North Ave,60647,Hot Dogs
59,Cup & Spoon,69,4.5,(773) 697-4421,2415 W North Ave,60647,Cafes
60,Doc B’s,173,4.5,(312) 999-9300,55 E Grand Ave,60611,Burgers
61,Carnitas Uruapan Restaurant,96,4.5,(312) 226-2654,1725 W 18th St,60608,Mexican
62,Davanti Enoteca,937,4,(312) 226-5550,1359 W Taylor St,60607,Italian
63,Viaggio Ristorante & Lounge,426,4.5,(312) 829-3333,1330 W Madison St,60607,Italian
64,Rapidito,34,4.5,(773) 857-3999,1855 W Diversey Pkwy,60614,Hot Dogs
65,The Roost Carolina Kitchen,355,4.5,(312) 261-5564,1467 W Irving Park Rd,60613,Southern
66,The Kitchen Chicago,161,4,(312) 836-1300,316 N Clark St,60654,American (New)
67,Homeslice,482,4,(312) 789-4600,938 W Webster,60614,Pizza
68,Pastoral,503,4.5,(312) 658-1250,53 E Lake St,60601,Cheese Shops
69,Pollo Express,212,4.5,(312) 829-1550,1315 W 18th St,60608,Mexican
70,90 Miles Cuban Café,1149,4,(773) 227-2822,2540 W Armitage Ave,60647,Cuban
71,Nuevo Leon Restaurant,1006,4,(312) 421-1517,1515 W 18th St,60608,Mexican
72,Kingsbury Street Cafe,283,4,(312) 280-1718,1523 N Kingsbury St,60642,American (New)
73,Chicago Pizza And Oven Grinder Company,1091,4,(773) 248-2570,2121 N Clark St,60614,Pizza
74,Fahlstrom’s Fresh Fish Market,160,4,(773) 281-6000,1258 W Belmont Ave,60657,Seafood
75,de Quay,60,4.5,(872) 206-8820,2470 N Lincoln Ave,60614,Indonesian
76,Cafe Versailles,185,4.5,(773) 283-8891,4102 N Pulaski Ave,60641,Cafes
77,Zia’s Lago Vista,210,4,(773) 883-0808,3819 N Ashland Ave,60613,Italian
78,The Panini Republic,119,5,(773) 525-2000,500 W Diversey Pkwy,60614,Sandwiches
79,Real Kitchen,131,4.5,(773) 281-2888,1433 West Montrose,60613,Food Delivery Services
80,Fork,709,4,(773) 751-1500,4600 N Lincoln Ave,60625,American (New)
81,Ge Pa De Caffe,191,4.5,(312) 332-2200,60 E Adams St,60603,Italian
82,Antique Taco,750,4,(773) 687-8697,1360 N Milwaukee Ave,60622,Mexican
83,Husky Hog BBQ,129,4.5,(773) 442-2769,335 W 31st St,60616,Food Trucks
84,The Drinkingbird,161,4,(773) 472-9920,2201 N Clybourn Ave,60614,"American (New),Outdoor Gear,Furniture Stores"
85,Fatso’s Last Stand,346,4.5,(773) 245-3287,2258 W Chicago Ave,60622,Hot Dogs
86,MingHin Cuisine,1106,4,(312) 808-1999,2168 S Archer Ave,60616,"Seafood,Chinese"
87,"Smalls, Smoke Shack & More",210,4.5,(312) 857-4221,4009 N Albany,60618,Barbeque
88,Luella’s Southern Kitchen,167,4,(773) 961-8196,4609 N Lincoln Ave,60625,Southern
89,BIG & little’s Restaurant,890,4,(312) 943-0000,860 N Orleans St,60610,Fast Food
90,Burger Bar Chicago,747,4,(312) 255-0055,1578 N Clybourn Ave,60642,Burgers
91,Mott St,259,4,(773) 687-9977,1401 N Ashland Ave,60622,Asian Fusion
92,The Bad Apple,1081,4,(773) 360-8406,4300 N Lincoln Ave,60618,Bars
93,Pleasant House Bakery,417,4.5,(773) 523-7437,964 W 31st St,60608,Bakeries
94,Irazu,1438,4,(773) 252-5687,1865 N Milwaukee Ave,60647,Latin American
95,Kerelys Pizzeria & Cafe,23,5,(773) 394-4040,2934 N Milwaukee Ave,60618,Cuban
96,Greek Islands Restaurant,1127,4,(312) 782-9855,200 S Halsted St,60661,Greek
97,The Portage,342,4,(773) 853-0779,3938 N Central Ave,60634,American (New)
98,Au Cheval,2062,4,(312) 929-4580,800 W Randolph S,60607,American (New)
99,EL Ideas,189,4.5,(312) 226-8144,2419 W 14th St,60608,American (New)
100,Jarabe- Mexican Street Food,38,4.5,(312) 877-5005,2255 W Taylor St,60612,Mexican
101,Antico,120,4.5,(773) 489-4895,1946 N Leavitt St,60647,Italian
102,Twin Anchors Restaurant & Tavern,525,4,(312) 266-1616,1655 N Sedgwick St,60614,American (Traditional)
103,Salsita,71,4.5,(773) 257-7008,3706 N Halsted St,60613,Mexican
104,Moxee Restaurant & Mad Mouse Brewery,115,4,(312) 243-3660,724 W Maxwell St,60607,American (New)
105,The Franklin Room,132,4,(312) 445-4686,675 N Franklin St,60654,American (New)
106,Frontera Fresco,303,4,(312) 781-4483,111 N State St,60602,Mexican
107,La Scarola,766,4,(312) 243-1740,721 W Grand Ave,60610,Italian
108,Café Iberico,1693,4,(312) 573-1510,737 N Lasalle Blvd,60654,Spanish
109,Smoque BBQ,3047,4.5,(773) 545-7427,3800 N Pulaski RdSte 2,60641,Barbeque
110,Girl & the Goat,4501,4.5,(312) 492-6262,809 W Randolph St,60607,American (New)
111,Coalfire Pizza,786,4,(312) 226-2625,1321 W Grand Ave,60642,Pizza
112,Dove’s Luncheonette,226,4,(773) 645-4060,1545 N Damen Ave,60622,Southern
113,Pierogi Street,43,4.5,(312) 675-8385,1043 N California Ave,60622,Polish
114,Wood,286,4,(773) 935-9663,3335 N Halsted St,60657,Bars
115,Ameritalia,107,4.5,(312) 957-1310,1303 S Michigan Ave,60605,American (New)
116,Analogue,161,4,(773) 904-8567,2523 N Milwaukee Ave,60647,Cocktail Bars
117,G & O,91,4,(312) 888-3367,459 W Ogden Ave,60642,American (New)
118,The Bristol,881,4,(773) 862-5555,2152 N Damen Ave,60647,American (New)
119,Iguana Café,508,4,(312) 432-0663,517 N Halsted St,60642,Creperies
120,Taqueria Traspasada,260,4,(312) 850-2069,811 N Ashland Ave,60622,Mexican
121,Birchwood Kitchen,854,4.5,(773) 276-2100,2211 W North Ave,60647,Sandwiches
122,Chez Delisay Cajun Cuisine,43,5,(872) 806-0986,6621 N Clark St,60626,Cajun/Creole
123,Sono Wood Fired,187,4,(312) 255-1122,1582 N Clybourn Ave,60642,"Italian,Burgers"
124,Bari,595,4.5,(312) 666-0730,1120 W Grand Ave,60642,Grocery
125,Cafe Urbano,66,4.5,(773) 478-1000,4176 N Elston Ave,60618,Cafes
126,Grace,171,4.5,(312) 234-9494,652 W Randolph St,60661,American (New)
127,Lowcountry,28,4.5,(773) 996-9997,3343 N Clark St,60657,Cajun/Creole
128,Three Aces,620,4,(312) 243-1577,1321 W Taylor St,60607,Italian
129,Bridge House Tavern,433,4,(312) 644-0283,321 N Clark St,60654,American (New)
130,Oiistar,482,4,(773) 360-8791,1385 N Milwaukee Ave,60622,American (New)
131,Blackwood BBQ,215,4,(312) 621-9663,305 W Lake St,60606,Barbeque
132,Home Bistro,760,4.5,(773) 661-0299,3404 N Halsted St,60657,American (New)
133,Taqueria Mazamitla,44,4.5,(773) 267-2667,3610 W Belmont Ave,60618,Mexican
134,Bricks,413,4,(312) 255-0851,1909 N Lincoln Ave,60614,Pizza
135,Bombacigno’s J & C Inn,119,4,(312) 663-4114,558 W Van Buren St,60607,Italian
136,Yuzu Sushi & Robata Grill,732,4.5,(312) 666-4100,1751 W Chicago Ave,60622,Japanese
137,Ramen Takeya,107,4,(312) 666-7710,819 W Fulton Market,60607,Ramen
138,Fontano Foods,99,4.5,(312) 421-4474,1058 W Polk St,60607,Sandwiches
139,Kai Sushi,298,4.5,(312) 583-0567,1255 S State St,60605,Sushi Bars
140,Native Foods Cafe,469,4.5,(312) 332-6332,218 S Clark St,60604,Vegan
141,Farmer’s Fridge,54,4.5,(312) 229-0099,Block Thirty Seven108 N State St,60602,Salad
142,Pequod’s Pizzeria,2482,4,(773) 327-1512,2207 N Clybourn Ave,60614,Pizza
143,Boeufhaus,71,4.5,(773) 661-2116,1012 N Western Ave,60622,Brasseries
144,Sofi Restaurant,146,4,(312) 753-5504,616 S Dearborn St,60605,Italian
145,Lockdown Bar & Grill,859,4,(773) 451-5625,1024 N Western Ave,60622,American (New)
146,Palace Grill,235,4,(312) 226-9529,1408 W Madison St,60607,Diners
147,American Wildburger,23,4.5,(312) 929-2878,1234 N Halsted St,60642,American (Traditional)
148,Silli Kori,16,4.5,(773) 384-5352,2053 W Division St,60622,Thai
149,Umami Burger,425,4,(773) 423-2005,1480 N Milwaukee Ave,60622,Burgers
150,The Corner Farmacy,30,4.5,(563) 271-7936,324 N Leavitt,60612,Food Trucks
151,Prime & Provisions,161,4.5,(312) 726-7777,222 N Lasalle St,60601,American (Traditional)
152,Tabaq Restaurant,68,4.5,(312) 944-1245,1245 N Clybourn St,60610,Pakistani
153,Cookies & Carnitas,220,4.5,(773) 769-2900,5757 N Broadway St,60660,Pizza
154,Feed,504,4,(773) 489-4600,2803 W Chicago Ave,60622,Southern
155,Gyu-Kaku Japanese BBQ,899,4,(312) 266-8929,210 E Ohio St,60611,Japanese
156,DMK Burger Bar,1549,4,(773) 360-8686,2954 N Sheffield Ave,60657,Burgers
157,The Windsor,30,4.5,(312) 943-7777,160 E Huron St,60611,American (New)
158,The Radler,219,4,(773) 276-0270,2375 N Milwaukee Ave,60647,German
159,Umai,358,4,(312) 986-8888,730 S Clark St,60605,"Japanese,Thai"
160,Portillo’s Hot Dogs & Barnelli’s Salad Bowl,2518,4,(312) 587-8910,100 W Ontario St,60610,Hot Dogs
161,Nana,730,4,(312) 929-2486,3267 S Halsted St,60608,American (New)
162,Flo,662,4,(312) 243-0477,1434 W Chicago Ave,60642,Breakfast & Brunch
163,Thai Aree House,122,4.5,(773) 725-6751,3592 N Milwaukee Ave,60641,Thai
164,Brgrbelly,140,4.5,(773) 775-6650,5691 N Milwaukee Ave,60646,Burgers
165,Alinea,1362,4.5,(312) 867-0110,1723 N Halsted St,60614,Japanese
166,The Pasta Bowl,567,4,(773) 525-2695,2434 N Clark St,60614,Italian
167,Publican Quality Meats,392,4.5,(312) 445-8977,825 W Fulton Market St,60607,Butcher
168,WHISK,299,4,(773) 252-9060,2018 W Chicago Ave,60622,Breakfast & Brunch
169,Papa’s Cache Sabroso,325,4,(773) 862-8313,2517 W Division St,60622,Latin American
170,Cooper’s,291,4,(773) 929-2667,1232 W Belmont Ave,60657,Bars
171,Sophie’s,34,4.5,(312) 525-3400,"Saks Fifth Avenue700 N Michigan Ave, 7th Fl",60611,American (New)
172,Cemitas Puebla,119,4,(312) 455-9200,817 W Fulton Market,60607,Mexican
173,Blue Door Farm Stand,155,4,(312) 265-0259,2010 N Halsted St,60614,Salad
174,Three Dots and a Dash,920,4,(312) 610-4220,435 N Clark StBack alley on Hubbard St,60654,Bars
175,First Draft,207,4,(312) 461-1062,649 S Clark St,60605,Bars
176,Brightwok Kitchen,78,4.5,(312) 583-0729,21 E Adams St,60603,Asian Fusion
177,Uptown Pho,96,4.5,(773) 878-8820,1010 W Argyle St,60640,Vietnamese
178,mEAT,145,4,(773) 871-2682,3339 N Halsted,60657,"American (New),Lounges,Tex-Mex"
179,LYFE Kitchen,377,4,(312) 836-5933,413 N Clark St,60654,American (New)
180,Altiro Latin Fusion - Roscoe,40,4.5,(773) 935-4000,2116 W Roscoe St,60618,Latin American
182,Ground Control,169,4,(773) 772-9446,3315 W Armitage Ave,60647,Vegetarian
183,Chicago Fire Market,14,5,(312) 763-2698,623 W 31st St,60616,Gluten-Free
184,Cellar Door Provisions,65,4,(773) 697-8337,3025 W Diversey Ave,60647,American (New)
185,Fat Willy’s Rib Shack,918,4,(773) 782-1800,2416 W Schubert Ave,60647,Barbeque
186,Kabobi Grill,147,4.5,(773) 583-1400,4748 N Kedzie Ave,60625,Mediterranean
187,Señor Pan,310,4,(773) 227-1020,4612 W Fullerton Ave,60639,Cuban
188,Sumo Sushi & Hibachi Grill,72,4.5,(773) 477-8510,2936 N Broadway,60657,Sushi Bars
189,Hopleaf,1674,4,(773) 334-9851,5148 N Clark St,60640,Gastropubs
190,Monti’s,381,4.5,(773) 942-6012,4757 N Talman Ave,60625,Cheesesteaks
191,Blackwood BBQ,48,4.5,(312) 631-3431,28 S Clinton St,60661,Barbeque
192,Mary’s Taqueria,56,4.5,(312) 491-9999,1901 S Canalport Ave,60616,Mexican
193,La Cocina Boricua de la Familia Galarza,204,4.5,(773) 235-7377,2420 W Fullerton Ave,60647,Puerto Rican
194,Puesto Sandwich Stand,34,5,(773) 661-2490,3349 N Sheffield Ave,60657,Latin American
195,Khaosan & Taylor,34,4.5,(312) 997-9991,1104 W Taylor St,60607,Thai
196,Haywood Tavern,46,4,(773) 661-1084,2759 W Augusta Blvd,60622,Gastropubs
197,Handlebar,959,4,(773) 384-9546,2311 W North Ave,60647,Vegetarian
198,TWO,493,4.5,(312) 624-8363,1132 W Grand Ave,60642,American (New)
199,Mana Food Bar,787,4.5,(773) 342-1742,1742 W Division St,60622,"Vegetarian,Sushi Bars"
200,Pueblo Nuevo,145,4.5,(773) 283-8058,4342 N Central Ave,60634,Mexican
201,Broken Shaker,48,4,(312) 940-3699,Freehand Hotel19 E Ohio St,60611,Cocktail Bars
202,Sticky Rice,665,4,(773) 588-0133,4018 N Western Ave,60618,Thai
203,Noodles In the Pot,456,4,(773) 975-6177,2453 N Halsted St,60614,Thai
204,Grange Hall Burger Bar,512,4,(312) 491-0844,844 W Randolph St,60607,Burgers
205,Casa Yari,64,4.5,(773) 661-9546,3268 W Fullerton Ave,60647,Latin American
206,Rickshaw Republic,214,4,(773) 697-4750,2312 N Lincoln Ave,60614,Indonesian
207,Southport & Irving - SIP,276,4,(773) 857-2890,4000 N Southport Ave,60613,American (New)
208,Lawrence Fish Market,499,4.5,(773) 267-6838,3914 W Lawrence Ave,60625,Sushi Bars
209,Pi-Hi Cafe,192,4.5,(773) 472-7444,3539 N Western Ave,60618,Mediterranean
210,Taco Joint,619,4,(312) 951-2457,1969 N Halsted St,60614,Mexican
211,U.B. Dogs,257,4.5,(312) 251-7009,185 N Franklin St,60606,Hot Dogs
212,Primo Chuki’s,59,4.5,(872) 208-7075,1726 W Lawrence,60640,Mexican
213,Siena Tavern,862,4,(312) 595-1322,51 W Kinzie St,60654,"Italian,Sportbars,Sportbars,Amerikaans (traditioneel)"
214,más,168,4,(312) 243-1995,800 W Washington Blvd,60607,Mexican
215,Zaytune Mediterranean Grill,276,4,(773) 254-6300,3129 S Morgan,60608,Mediterranean
216,Upton’s Breakroom,60,4.5,(312) 666-7838,2054 W Grand Ave,60612,Vegan
217,Artopolis,608,4,(312) 559-9000,306 S Halsted St,60661,Bakeries
218,Lavash Mediterranean Grill,36,4,(312) 631-3484,651 W Washington Blvd,60661,"Mediterranean,Airlines"
219,The Chicago Diner,313,4.5,(773) 252-3211,2333 N Milwaukee Ave,60647,Vegan
220,Owen & Engine,746,4,(773) 235-2930,2700 N Western Ave,60647,Gastropubs
221,The Purple Pig,3619,4,(312) 464-1744,500 N Michigan Ave,60611,Tapas/Small Plates
222,Crazy Bird Chicken,24,4.5,(773) 801-0451,1138 S California Ave,60612,Chicken Wings
223,Paladar,161,4,(773) 252-4747,2252 N Western Ave,60647,Cuban
224,Perkolator,60,4.5,(773) 853-2261,6032 W Irving Park Rd,60634,Cafes
225,Momotaro,300,4,(312) 733-4818,820 W Lake St,60607,Sushi Bars
226,Tango Sur,1630,4,(773) 477-5466,3763 N Southport Ave,60613,Steakhouses
227,Big Bricks,246,4,(773) 525-5022,3832 N Lincoln Ave,60613,Pizza
228,New England Seafood Company,381,4,(773) 871-3474,3341 N Lincoln Ave,60657,Seafood Markets
229,Nando Milano Trattoria,239,4,(773) 486-2636,2114 W Division St,60622,Italian
230,Rockwell’s Neighborhood Grill,305,4,(773) 509-1871,4632 N Rockwell St,60625,American (New)
231,The Marq,88,4,(312) 600-4434,60 W Adams St,60603,American (New)
232,Inspiration Kitchens,126,4.5,(773) 801-1110,3504 W Lake St,60624,American (New)
233,Lou Malnati’s Pizzeria,1128,4,(312) 786-1000,805 S State St,60605,Pizza
234,Taza Cafe,448,4.5,(312) 201-9885,176 N Franklin St,60606,Middle Eastern
235,El Carrito,103,4,(872) 208-3260,6019 N Lincoln Ave,60659,Mexican
236,TáKoz,31,4.5,(312) 846-6374,2229 W Taylor St,60612,Mexican
237,Ara On,171,4,(312) 781-7300,160 W Adams St,60603,Asian Fusion
238,Eduardo’s Enoteca,196,4,(312) 337-4490,1212 N Dearborn St,60610,Italian
239,Al Dente,98,4.5,(773) 942-7771,3939 W Irving Park Rd,60618,American (New)
240,Rice’N Bread,107,4.5,(773) 281-4452,3435 N Sheffield Ave,60657,Korean
241,Tanta,466,4,(312) 222-9700,118 W Grand Ave,60654,Peruvian
242,Pork Shoppe,485,4,(773) 961-7654,2755 W Belmont Ave,60618,Barbeque
243,The Gage,1832,4,(312) 372-4243,24 S Michigan Ave,60603,Gastropubs
244,Uncle Mike’s Place,389,4,(312) 226-5318,1700 W Grand Ave,60622,Breakfast & Brunch
245,Masa Azul,195,4,(773) 687-0300,2901 W Diversey Ave,60647,Mexican
246,BenjYehuda,92,4.5,(312) 726-9653,10 S LaSalle St,60603,Mediterranean
247,25 Degrees,533,4,(312) 943-9700,736 N Clark St,60654,Burgers
248,Bar Takito,185,4,(312) 888-9485,201 N Morgan St,60607,Latin American
249,Ipsento,630,4.5,(773) 904-8177,2035 N Western Ave,60647,Coffee & Tea
250,Panes Bread Cafe,590,4.5,(773) 665-0972,3002 N Sheffield Ave,60657,Sandwiches
251,Do-Rite Donuts & Chicken,262,4.5,(312) 344-1374,233 E Erie St,60611,Donuts
252,Roti Mediterranean Grill,236,4,(312) 263-9000,33 N Dearborn St,60602,Mediterranean
253,Park Tavern,140,3.5,(312) 243-4276,1645 W Jackson Blvd,60612,"American (New),American (Traditional),American (New),American (New),Gastropubs"
254,Ruxbin,645,4.5,(312) 624-8509,851 N Ashland Ave,60642,American (New)
255,mEAT Streeterville,173,4,(773) 328-8320,215 E Chestnut St,60611,"American (New),American (New)"
256,Takos Koreanos,191,4,(773) 654-1220,1706 W Foster Ave,60640,Korean
257,Bullhead Cantina,209,4,(773) 772-8895,1143 N California,60622,Bars
258,Taverna 750,526,4,(773) 904-7466,750 W Cornelia Ave,60657,Cocktail Bars
259,bopNgrill Belmont,36,4,(773) 799-8868,921 W Belmont Ave,60657,Burgers
260,A Tavola,269,4.5,(773) 276-7567,2148 W Chicago Ave,60622,Italian
261,Blackbird,1040,4,(312) 715-0708,619 W Randolph St,60661,American (New)
262,Laschet’s Inn,357,4.5,(773) 478-7915,2119 W Irving Park Rd,60618,German
263,Hot Dog Station,102,4.5,(773) 588-2580,4742 N Kimball,60625,Hot Dogs
264,Olive Mediterranean Grill,149,4,(312) 274-5525,1001 W North Ave,60642,Mediterranean
265,En Hakkore,384,4.5,(773) 772-9880,1840 N Damen Ave,60647,Korean
266,Chicken Planet,86,4.5,(312) 360-1409,177 W Van Buren St,60605,American (New)
267,Slim’s,145,4.5,(773) 878-7546,2020 W Montrose Ave,60618,Sandwiches
268,Oasis Cafe,319,4,(312) 443-9534,21 N Wabash Ave,60602,Mediterranean
269,Troy Mediterranean Grill,136,4.5,(773) 770-3866,2908 N Broadway Ave,60657,Mediterranean
270,Cornerstone Cafe,367,4,(773) 235-1155,2753 N Western Ave,60618,Coffee & Tea
271,Windy City Cafe,176,4,(312) 492-8010,1062 W Chicago Ave,60642,Breakfast & Brunch
272,Boka,769,4,(312) 337-6070,1729 N Halsted St,60614,American (New)
273,Tru,556,4.5,(312) 202-0001,676 N St. Clair St,60611,American (New)
274,La Fournette,304,4.5,(815) 518-2340,1547 N Wells St,60610,Bakeries
275,Podhalanka,285,4,(773) 486-6655,1549 W Division St,60642,Polish
276,Longman & Eagle,1773,4,(773) 276-7110,2657 N Kedzie Ave,60647,Hotels
277,Jerk Taco Man,84,3.5,(312) 709-8281,4001 W Jackson (at Pulaski),60644,Cajun/Creole
278,Shokran Moroccan Restaurant,286,4.5,(773) 427-9130,4027 W Irving Park,60641,Moroccan
279,Gyros On The Spit,126,4.5,(773) 698-7999,2826 N Lincoln Ave,60657,Greek
280,Batter & Berries,1004,4,(773) 248-7710,2748 N Lincoln Ave,60614,Breakfast & Brunch
281,Tweet,1133,4,(773) 728-5576,5020 N Sheridan Rd,60640,American (New)
283,Pizzeria Del Mercato,113,4.5,(312) 226-6898,1154 W Fulton Market,60607,Pizza
284,County Barbeque,312,4,(312) 929-2528,1352 W Taylor St,60607,Barbeque
285,Shawarma Garden,103,4,(773) 904-8897,1951 W Division St,60622,Middle Eastern
286,Naansense,245,4,(312) 578-8825,171 N Wells St,60606,Indian
287,Little Goat,2081,4,(312) 888-3455,820 W Randolph St,60607,Diners
288,Henry’s,168,4.5,(312) 955-8018,18 W Hubbard St,60654,Bars
289,The Art of Chicken,143,4,(773) 697-9266,2041 N Western Ave,60647,Chicken Wings
290,Breakfast House,127,4,(312) 997-2400,1800 W Grand Ave,60622,Breakfast & Brunch
292,Aloha Eats,722,4,(773) 935-6828,2534 N Clark St,60614,Hawaiian
293,Dak,253,4.5,(773) 754-0255,1104 W Granville Ave,60660,Korean
294,Mindy’s Hot Chocolate,1664,4,(773) 489-1747,1747 N Damen Ave,60647,American (Traditional)
295,Frontera Grill,1611,4,(312) 661-1434,445 N Clark St,60654,Mexican
296,Rangoli,374,4,(773) 697-7114,2421 W North Ave,60647,Indian
297,Parson’s Chicken & Fish,525,3.5,(773) 384-3333,2952 W Armitage,60647,American (New)
298,Summer House,745,4,(773) 634-4100,1954 N Halsted St,60614,American (Traditional)
299,Pinstripes,135,4,(312) 527-3010,435 E Illinois St,60611,American (New)
300,Go 4 Food,472,4,(312) 842-8688,212 W 23rd St,60616,Chinese
301,Perennial Virant,408,4,(312) 981-7070,1800 N Lincoln Ave,60614,American (New)
302,Flub A Dub Chub’s,498,4.5,(773) 857-6500,3021 N Broadway,60657,Hot Dogs
303,The Artisan Cellar,80,4.5,(312) 527-5810,222 Merchandise Mart PlzSte 116,60654,"Beer, Wine & Spirits"
304,The Peasantry,376,3.5,(773) 868-4888,2723 N Clark St,60614,American (New)
305,Spacca Napoli,973,4,(773) 878-2420,1769 W Sunnyside Ave,60640,Pizza
306,Bread & Wine,266,4,(773) 866-5266,3732 W Irving Park Rd,60618,American (New)
307,Hash,177,4,(773) 661-2964,1357 N Western Ave,60622,Breakfast & Brunch
308,Four Moon Tavern,231,4,(773) 929-6666,1847 W Roscoe St,60657,Bars
309,Cafecito,1010,4.5,(312) 922-2233,26 E Congress Pkwy,60605,Coffee & Tea
310,Frasca,549,4,(773) 248-5222,3358 N Paulina St,60657,Wine Bars
311,Piece Brewery and Pizzeria,2971,4,(773) 772-4422,1927 W North Ave,60622,Pizza
312,Sable,1032,4,(312) 755-9704,505 N State St,60654,American (New)
