id,name,votes,rating,phone,address,zip,cuisine
42,Kaufman's,61,4.2,(847) 677-6190,"4905 W. Dempster Street, Chicago",60077,"Sandwich,Deli"
43,Lou Mitchell's,321,4.2,(312) 939-3111,"565 W. Jackson Boulevard, Chicago",60661,American
44,My Thai/Takumi,82,3.5,(312) 669-1999,555 W. Madison Street,60661,"Asian,Sushi,Thai"
45,Rickshaw Republic,31,3.4,(773) 697-4750,"2312 N. Lincoln Avenue, Chicago",60614,"Indonesian,Asian"
46,Which Wich,45,3.4,(331) 229-3592,"2728 W. 75th Street, Suite 120",60565,Sandwich
47,Clarke's,144,3.5,(847) 864-1610,720 Clark Street,60201,"American,Diner"
48,Bentley's Pancake House & Restaurant,121,3.8,(630) 295-9888,142 E. Lake Street,60108,Diner
49,Sweet Tomatoes,57,3.5,(847) 619-1271,1951 Mcconnor Parkway,60173,American
50,L' Patron Tacos,51,3.8,(773) 252-6335,"2815 W. Diversey Avenue, Chicago",60647,"Mexican,Taco"
51,Maravilla's Restaurant,226,3.6,(773) 643-3155,"5506 S. Lake Park Avenue, Chicago",60637,Mexican
52,Taxim,120,3.7,(773) 252-1558,"1558 N. Milwaukee Avenue, Chicago",60622,Greek
53,Besa Mi Taco,85,3.6,(630) 773-0722,1180 N. Arlington Heights Road,60143,Mexican
54,Ann Sather,384,3.8,(773) 348-2378,"909 W. Belmont Avenue, Chicago",60657,"American,Swedish,Bakery"
55,Sakamoto Japanese Grill and Sushi,39,3.3,(630) 554-2388,2984 U.S. Route 34,60543,"Japanese,Sushi"
56,Sweet Baby Ray's,152,3.8,(847) 437-9555,800 E. Higgins Road,60007,BBQ
57,Dunlays on Clark,153,3.7,(773) 883-6000,"2600 N. Clark Street, Chicago",60614,American
58,Northside Bar and Grill,80,3.5,(773) 384-3555,"1635 N. Damen Avenue, Chicago",60647,"American,Burger,Bar Food"
59,Community Tavern,12,3,(773) 283-6080,"4038 N. Milwaukee Avenue, Chicago",60641,New American
61,Umami Burger,24,3.3,(773) 423-2005,"1480 N. Milwaukee Avenue, Chicago",60622,Burger
62,Chuck's: A Kerry Simon Kitchen,28,3.2,(312) 334-6700,"Hard Rock Hotel, 224 N. Michigan Avenue, Chicago",60601,American
63,P.F. Chang's,198,3.9,(708) 675-3970,14135 S. La Grange Road,60462,"Asian,Chinese"
64,Cedar Grill,140,3.8,(630) 241-2525,2223 Ogden Avenue,60515,Middle Eastern
65,Dixie Kitchen & Bait Shop,553,3.8,(847) 733-9030,825 Church Street,60201,Southern
66,The Scout Waterhouse & Kitchen,45,3.3,(312) 705-0595,"1301 S. Wabash Avenue, Chicago",60605,"Burger,American"
67,Cafe Des Architectes,71,3.9,(312) 324-4063,"Sofitel Hotel, 20 E. Chestnut Street, Chicago",60611,"French,Mediterranean"
68,New Rebozo Chicago,48,4.1,(312) 202-4191,"46 E. Superior Street, Chicago",60611,Mexican
69,Taqueria Los Mogotes de Michoacan,84,4,(847) 432-5667,"2069 Green Bay Road, Highland Park",60035,Mexican
70,Bombay Wraps,85,3.6,(312) 739-9727,"122 N. Wells Street, Chicago",60606,Indian
71,Cozymels Coastal Mex,128,3.5,(630) 871-1030,311 E. Loop Road,60187,Mexican
72,Gemini Bistro,102,3.9,(773) 525-2522,"2075 N. Lincoln Avenue, Chicago",60614,"American,French"
73,The Boundary Tavern and Grille,64,3.5,(773) 278-1919,"1932 W. Division Street, Chicago",60622,American
74,D & J Bistro,156,4,(847) 438-8001,466 S. Rand Road,60047,French
75,Psistaria Greek Taverna,75,4.2,(847) 676-9400,4711 W. Touhy Avenue,60712,Greek
76,Star of Siam,298,3.6,(312) 670-0100,"11 E. Illinois Street, Chicago",60611,Thai
77,Rootstock,98,3.9,(773) 292-1616,"954 N. California Avenue, Chicago",60622,American
78,Pockets,54,3.4,(773) 667-1313,"1307 E. 53rd Street, Chicago",60615,"Sandwich,Healthy Food"
79,Barley & Brass,4,2.7,(312) 763-9600,"2015 W. Division Street, Chicago",60622,"New American,Bar Food"
80,Moe's Cantina,44,3.1,(312) 245-2000,"155 W. Kinzie Street, Chicago",60654,Mexican
81,Daily Bar & Grill,143,3.7,(773) 561-6198,"4560 N. Lincoln Avenue, Chicago",60625,"American,Bar Food"
82,Dicola's Seafood,269,4.1,(773) 238-7071,"10754 S. Western Avenue, Chicago",60643,Seafood
83,Firehouse Grill,149,3.6,(847) 733-1911,750 Chicago Avenue,60202,"American,Burger"
84,EggShells,222,3.7,(847) 719-3447,596 W. Route 22,60047,American
85,The Reservoir,30,3.5,(773) 275-4000,844 W. Montrose Avenue,60613,Bar Food
86,Pazzo's Cucina Italiana,82,3.4,(312) 386-9400,"23 E. Jackson Boulevard, Chicago",60604,"Pizza,Italian"
87,Piccolo Sogno,275,3.9,(312) 421-0077,"464 N. Halsted Street, Chicago",60622,Italian
88,Elephant,107,3.7,(773) 467-1168,"5348 W. Devon Avenue, Chicago",60646,"Asian,Seafood,Thai"
89,Soul Vegetarian,80,3.6,(773) 224-0104,"205 E. 75th Street, Chicago",60619,Vegetarian
90,Bucho's Mexican Restaurant,152,3.9,(630) 226-9627,235 S. Bolingbrook Drive,60440,Mexican
91,Moretti's Ristorante & Pizzeria,133,3.7,(773) 631-1223,"6727 N. Olmsted Avenue, Chicago",60631,"American,Italian,Pizza"
92,Rios D'Sudamerica,68,3.7,(773) 276-0170,"2010 W. Armitage Avenue, Chicago",60647,"Peruvian,South American,Latin American"
93,Augustino's Rock and Roll Deli,166,3.9,(630) 665-5585,246 S. Schmale Road,60188,"Sandwich,Pizza,Deli"
94,Cafe Corea,245,4.3,(773) 288-1795,"1603 E. 55th Street, Chicago",60615,"Korean,Asian"
95,Mythos Greek Taverna,146,3.7,(773) 334-2000,"2032 W. Montrose Avenue, Chicago",60618,"Greek,Mediterranean,Mediterranean"
96,Dinotto Pizza E Vino,139,3.6,(312) 202-0302,1551 N. Wells Street,60610,"Italian,Pizza"
97,Prosecco,133,3.7,(312) 951-9500,"710 N. Wells Street, Chicago",60610,Italian
98,Irazu,379,4,(773) 252-5687,"1865 N. Milwaukee Avenue, Chicago",60647,Latin American
99,Pasteur,31,3.3,(773) 728-4800,"5525 N. Broadway Street, Chicago",60640,Vietnamese
100,Vera Chicago,79,4.2,(312) 243-9770,"1023 W. Lake Street, Chicago",60607,"Tapas,Spanish"
101,Gather,28,3.4,(773) 506-9300,"4539 N. Lincoln Avenue, Chicago",60625,American
102,Bulldogs Grill,144,4.3,(847) 526-8234,122 S. Main Street,60084,"Burger,American"
103,Dan's Pizza,40,3.5,(630) 963-6900,2738 Maple Avenue,60515,"Pizza,Sandwich"
104,Nikko Sushi,95,4.2,(847) 364-9546,"282 E. Algonquin Road, Arlington Hts",60005,"Japanese,Korean,Sushi"
105,Chief O'Neill's,69,4.6,(773) 473-5263,"3471 N. Elston Avenue, Chicago",60618,"Irish,Pub Food"
106,Canton Tea Garden,41,3.4,(847) 823-2818,805 Devon Avenue,60068,Chinese
107,Union House,53,4.5,(630) 456-4188,0S050 Winfield Road,60190,"Seafood,Southern,Tapas"
108,Dinkel's Bakery,98,3.6,(773) 281-7300,"3329 N. Lincoln Avenue, Chicago",60657,"Cafe,Bakery"
109,Sweet Mandy B's,440,3.9,(773) 244-1174,"1208 W. Webster Avenue, Chicago",60614,"Desserts,Bakery"
110,The Purple Pig,1723,4.6,(312) 464-1744,"500 N. Michigan Avenue, Chicago",60611,"Mediterranean,Tapas"
111,Addis Abeba,153,3.7,(847) 328-5411,1322 Chicago Avenue,60201,"African,Ethiopian"
112,Brothers K Coffeehouse,298,4,(847) 328-7940,500 Main Street,60202,Coffee and Tea
113,Ceres' Table,92,3.8,(773) 922-4020,"3124 N. Broadway Street, Chicago",60657,Italian
114,Found Kitchen and Social House,39,3.5,(847) 868-8945,1631 Chicago Avenue,60201,New American
115,Seven Lions,8,3.1,(312) 880-0130,"130 S. Michigan Avenue, Chicago",60603,American
116,Cooper's Hawk Winery & Restaurant,89,3.9,(847) 215-1200,583 N. Milwaukee Avenue,60090,"American,Italian"
117,Hecky's Barbecue,152,3.9,(847) 492-1182,1902 Green Bay Road,60201,"American,BBQ,Sandwich"
118,Grove Kitchen,12,2.9,(847) 705-4910,795 W. Dundee Road,60074,American
119,The Turf Room,176,3.8,(630) 906-9300,"1033 Kilbery Street, North Aurora",60542,"American,Burger,Steakhouse"
120,The Goddess and Grocer,79,3.7,(773) 342-3200,1646 N. Damen Avenue,60647,"American,Sandwich,Deli"
121,Tortas Frontera,248,4.1,(773) 686-6180,"O'Hare International Airport, Terminal 1, Gate B11, Chicago",60666,"Mexican,Sandwich"
122,Simone's,105,4.1,(312) 666-8601,"960 W. 18th Street, Chicago",60608,"American,Sandwich,Pizza"
123,Falafel & Grill,19,3.1,(773) 292-8888,"1317 N. Milwaukee Avenue, Chicago",60622,"Mediterranean,Middle Eastern"
124,Gibsons Bar & Steakhouse,105,3.7,(630) 954-0000,2105 South Spring Road,60523,Steakhouse
125,Old Oak Tap,81,3.7,(773) 772-0406,"2109 W. Chicago Avenue, Chicago",60622,American
126,Shula's Steak House,58,3.5,(312) 670-0788,"Sheraton Chicago Hotel, 301 E. North Water Street, Lobby Level, Chicago",60611,"Steakhouse,American"
127,Mister J's Dawg 'N Burger,67,3.4,(312) 943-4679,"822 N. State Street, Chicago",60610,"Burger,Sandwich,American"
128,Qdoba Mexican Grill,32,3.2,(312) 212-1201,"175 W. Jackson Boulevard, Chicago",60604,Mexican
129,Max & Benny's Restaurant,141,3.6,(847) 272-9490,461 Waukegan Road,60062,Sandwich
130,Mangia Fresca,45,3.5,(312) 225-7100,"2556 S. Archer Avenue, Chicago",60608,Italian
131,Pizza Capri,139,3.7,(773) 324-7777,"1501 E. 53rd Street, Chicago",60615,"Italian,Pizza"
132,Twin Anchors,531,4,(312) 266-1616,"1655 N. Sedgwick Street, Chicago",60614,"American,BBQ"
133,Corner Bakery Cafe,97,3.6,(312) 266-2570,"676 N. St. Clair Street, Chicago",60611,"Sandwich,Bakery,Cafe"
134,Dinosaur Bar-B-Que,8,2.9,(312) 462-1053,923 W. Weed Street,60642,"American,BBQ"
135,Chicago's Dog House,101,4,(773) 248-3647,"816 W. Fullerton Avenue, Chicago",60614,"Fast Food,American"
136,Pho Ha,75,3.7,(630) 894-4000,1971 Bloomingdale Road,60139,Vietnamese
137,Maciano's Pizza & Pastaria,114,3.6,(847) 697-1400,"3091 U.S. Route 20, Unit 114",60124,"Italian,Pizza,Sandwich"
138,Sushi Kushi San 3,177,3.5,(847) 362-3330,"281 W. Townline Road, Unit 150",60061,"Japanese,Sushi"
139,Rise 'N Dine Pancake House,94,3.6,(847) 541-4900,102 S. Milwaukee Avenue,60090,"American,Greek"
140,Salt & Pepper Diner,82,3.5,(773) 883-9800,"3537 N. Clark Street, Chicago",60657,American
141,The Commons Club - Virgin Hotel Chicago,10,3.2,(312) 940-4747,"Virgin Hotel, 203 N. Wabash Avenue, 2nd Floor, Chicago",60601,American
143,Smoke Daddy,504,3.7,(773) 772-6656,"1804 W. Division Street, Chicago",60622,"American,BBQ"
144,Hub's,96,3.8,(847) 673-9409,3727 W. Dempster Street,60076,"Greek,Burger"
145,Cocina Tarascas International,120,3.7,(773) 549-2595,"2585 N. Clark Sreet, Chicago",60614,Mexican
146,Sugar Factory,11,2.3,(847) 233-9010,"MB Financial Park At Rosemont, 5445 Park Place, Chicago",60018,"Bar Food,Desserts"
147,Red Lobster,22,3.1,(630) 679-9192,209 S. Weber Road,60490,Seafood
148,Les Nomades,70,3.6,(312) 649-9010,"222 E. Ontario Street, Chicago",60611,French
149,Blue Max Coffee,81,3.9,(708) 366-9224,26 Lathrop Avenue,60130,"Cafe,American"
150,Cosí,55,3.5,(312) 223-1061,"116 S. Michigan Avenue, Chicago",60603,"International,Sandwich"
151,La Sardine,122,3.5,(312) 421-2800,"111 N. Carpenter Street, Chicago",60607,French
152,Milano's,157,4.2,(773) 445-4010,"10943 S. Western Avenue, Chicago",60643,"Italian,Pizza"
153,The Tribes Alehouse & Grill,133,4.1,(815) 464-0248,11220 West Lincoln Highway,60448,"American,Bar Food"
154,¡Hello Tacos! De Cero,254,4,(312) 455-8114,"814 W. Randolph Street, Chicago",60607,Mexican
155,Jeni's Splendid Ice Creams,20,3.4,(773) 348-7139,"3404 N. Southport Avenue, Chicago",60657,Ice Cream
156,Eat a Pita,59,3.5,(773) 929-6727,"3155 N. Halsted Street, Chicago",60657,"American,Mediterranean"
157,Tacos Erendira,156,4.1,(312) 567-0202,"3207 S. Halsted Street, Chicago",60608,Mexican
158,Tesori,35,3.5,(312) 786-9911,"65 E. Adams Street, Chicago",60603,"Italian,Pizza"
159,Schaller's Pump,62,3.8,(773) 376-6332,"3714 S. Halsted Street, Chicago",60609,Bar Food
160,Thipi Thai Restaurant,154,3.8,(630) 469-9001,530 Crescent Boulevard,60137,"Asian,Thai"
161,Protein Bar,41,3.6,(312) 527-0450,"352 N. Clark Street, Chicago",60654,"Healthy Food,Beverages"
162,Apple Villa Famous Pancake House,101,3.5,(847) 765-2000,3101 N. Barrington Road,60192,American
163,Emperor's Choice,107,3.9,(312) 225-8800,"2238 S. Wentworth Avenue, Chicago",60616,"Asian,Chinese"
164,The Berkshire Room - ACME Hotel,6,3,(312) 894-0945,"ACME Hotel, 15 E. Ohio Street, Chicago",60611,"Tapas,Desserts"
165,Tre Soldi,64,3.9,(312) 664-0212,"212 E. Ohio Street, Chicago",60611,"Italian,Pizza"
166,Libertad,87,4.3,(847) 674-8100,7931 Lincoln Avenue,60077,"Latin American,Tapas"
167,Carnitas Uruapan,24,3.4,(312) 226-2654,"1725 W. 18th Street, Chicago",60608,Mexican
168,Hala Kahiki,92,3.7,(708) 456-3222,2834 River Road,60171,Drinks Only
169,Wâfel,19,2.9,(773) 770-4894,"217 N. Clinton Street, Chicago",60661,"Sandwich,Desserts"
170,Katie's Kitchen,137,3.7,(847) 803-3544,623 N. Wolf Road,60016,"American,Burger"
171,Chili's Grill & Bar,21,2.5,(847) 328-9068,1765 Maple Avenue,60201,American
172,Dove's Luncheonette,27,3.3,(773) 645-4060,"1545 N. Damen Avenue, Chicago",60622,"Mexican,Southern"
173,Pauline's,104,3.1,(773) 561-8573,"1754 W. Balmoral Avenue, Chicago",60640,American
174,Gumrai Thai,138,3.9,(847) 590-1000,170 N. Arlington Heights Road,60004,"Sushi,Japanese,Sushi"
175,Marcello's,103,3.6,(312) 654-2550,"645 W. North Avenue, Chicago",60610,"American,Italian"
176,Antique Taco,161,3.9,(773) 687-8697,"1360 N. Milwaukee Avenue, Chicago",60622,Taco
177,Kitty O'Shea's,79,3.3,(312) 294-6860,"720 S. Michigan Avenue, Chicago",60605,"Irish,American"
178,Brandt's of Palatine,231,3.8,(847) 496-4388,807 W. Northwest Highway,60074,"American,Burger"
179,Jitlada Thai House,77,3.7,(773) 388-9988,3715 N. Halsted Street,60613,"Asian,Thai"
180,Original Hooters,32,3.1,(312) 944-8800,"660 N. Wells Street, Chicago",60654,"American,Bar Food"
181,Sweet Baby Ray's,157,3.3,(630) 238-8261,249 E. Irving Park Road,60191,BBQ
182,Gigio's Pizzeria,133,4.1,(847) 328-0990,1001 Davis Street,60201,"Pizza,Sandwich"
183,Freshii,5,2.5,(312) 578-1470,200 W. Randolph Street,60606,"Healthy Food,Juices"
184,Zaza's Italian Steakhouse,120,3.5,(630) 443-9304,"5 S. 1st Street, St. Charles",60174,"Italian,Steakhouse"
185,Buzz: Killer Espresso,33,3.3,(773) 366-8377,"1644 N. Damen Avenue, Chicago",60647,Coffee and Tea
186,South Branch,59,3.6,(312) 546-6177,"100 S. Wacker Drive, Chicago",60606,"American,Seafood"
187,Uncommon Ground,387,3.8,(773) 929-3680,"3800 N. Clark Street, Chicago",60613,American
188,Metropolis Coffee Company,130,3.7,(773) 764-0400,"1039 W. Granville Avenue, Chicago",60660,"Cafe,Desserts"
189,Wiener and Still Champion,247,3.8,(847) 869-0100,802 Dempster Street,60202,"American,Sandwich,Burger"
190,Claim Jumper,113,3.4,(847) 645-6400,2610 N Sutton Rd,60192,"American,Seafood,Steakhouse"
191,Oberweis,19,3.3,(630) 810-1270,"Downers Plaza Shopping Center, 60 Ogden Avenue",60515,"Ice Cream,Desserts"
192,Bellwether,16,3.1,(312) 222-1800,"302 E. Illinois Street, Chicago",60611,American
193,Hay Caramba,187,3.6,(847) 518-0747,122 S. Prospect Avenue,60068,Mexican
194,The Cellar,83,4.5,(847) 864-8678,820 Clark Street,60201,"American,Bar Food"
195,Viaggio Ristorante & Lounge,91,4.3,(312) 829-3333,"1330 W. Madison Street, Chicago",60607,Italian
196,Schmaltz Deli,104,4.3,(630) 245-7595,"1512 N. Naper Boulevard, Suite 152",60563,"Sandwich,Deli"
197,Naniwa,116,3.6,(312) 255-8555,"607 N. Wells Street, Chicago",60610,"Asian,Japanese,Sushi"
198,Uncle Julio's,509,3.7,(312) 266-4222,"855 W. North Avenue, Chicago",60622,Mexican
199,Thalia Spice,114,3.8,(312) 226-6020,"833 W. Chicago Avenue, Chicago",60642,"Asian,Sushi,Japanese"
200,Cobra Lounge,26,3.3,(312) 226-6300,"235 N. Ashland Avenue, Chicago",60607,"American,Bar Food"
201,Insomnia Cookies,18,3.3,(877) 632-6654,"2260 N. Lincoln Avenue, Chicago",60614,Desserts
202,Vinci,98,3.6,(312) 266-1199,"1732 N. Halsted Street, Chicago",60614,Italian
203,Sugar Bliss Cake Boutique,54,3.7,(312) 845-9669,"115 N. Wabash Avenue, Chicago",60602,"Desserts,Bakery"
204,TAC Quick Thai Kitchen,111,4,(773) 327-5253,"3930 N. Sheridan Road, Chicago",60613,"Asian,Thai"
205,Sopraffina Marketcaffe,12,2.9,(312) 583-1100,"175 W. Jackson Boulevard, Chicago",60604,"Italian,Sandwich,Pizza"
206,Candlelite Chicago,258,4.3,(773) 465-0087,7452 N. Western Avenue,60645,"Pizza,American"
207,Ballydoyle Irish Pub & Restaurant,103,3.4,(630) 969-0600,5157 Main Street,60515,"Pub Food,Irish,Burger,Sandwich"
208,Bella Via Ristorante,79,3.8,(847) 681-8300,1899 Second Street,60035,"Italian,Pizza"
209,Sultan's Market,578,3.8,(773) 235-3072,"2057 W. North Avenue, Chicago",60647,Middle Eastern
210,Cucina Paradiso,168,3.9,(708) 848-3434,814 North Boulevard,60301,Italian
211,J.P. Graziano,55,4.7,(312) 666-4587,"901 W. Randolph Street, Chicago",60607,"Italian,Sandwich"
212,Svea Restaurant,95,4.1,(773) 275-7738,"5236 N. Clark Street, Chicago",60640,"Swedish,American"
213,Machu Picchu Restaurant,69,3.6,(773) 472-0471,"3856 N. Ashland Avenue, Chicago",60613,Peruvian
214,Hutch,18,3.1,(773) 248-1155,"3301 N. Clark Street, Chicago",60657,American
215,Fred's Diner,111,3.9,(847) 223-9776,225 Center Street,60030,Diner
216,Frontera Fresco,40,3.4,(847) 329-2638,"Old Orchard Mall, 4999 Old Orchard Center, Unit M38",60077,Mexican
217,Rainforest Cafe,64,2.1,(847) 855-7800,"Gurnee Mills Mall, 6170 W. Grand Avenue",60031,"American,Burger,Sandwich"
218,Corner Stone Cafe,104,3.9,(773) 235-1155,"2753 N. Western Avenue, Chicago",60647,"American,Sandwich,Burger"
219,El Taco Grande,153,3.7,(630) 406-8415,6 N. River Street,60510,Mexican
220,Big Bowl,315,3.7,(312) 951-1888,60 E. Ohio Street,60611,"Asian,Chinese,Thai"
221,Pequod's Pizza,908,4.5,(773) 327-1512,"2207 N. Clybourn Avenue, Chicago",60614,"Pizza,Italian,Sandwich"
222,Hemmingway's Bistro,79,3.6,(708) 524-0806,"211 N. Oak Park Avenue, Chicago",60302,"American,French"
223,Indian Harvest,112,3.6,(630) 579-9500,"796 Royal St. George Drive, Suite 101",60563,Indian
224,Tanoshii Sushi,137,3.6,(773) 878-6886,5547 N. Clark Street,60640,"Sushi,Japanese"
225,Senor Pan,83,3.3,(773) 227-1020,4612 W. Fullerton Avenue,60639,Cuban
226,Furama,86,3.5,(773) 271-1161,4936 N. Broadway Street,60640,"Chinese,Dim Sum"
227,Ain't She Sweet Cafe,26,3.3,(773) 373-3530,526 E. 43rd Street,60653,Cafe
228,Lockwood Restaurant and Bar,62,3.6,(312) 917-3404,"Palmer House, 17 E. Monroe Street",60603,New American
229,Benedict's Eggs & More,105,4.1,(847) 836-2222,8 S. River Street,60118,American
230,Artists' Restaurant,77,2.8,(312) 939-7855,"Roosevelt University Fine Arts Building, 412 S. Michigan Avenue, Chicago",60605,American
231,Truth,143,3.5,(815) 744-5901,808 W. Jefferson Street,60435,American
232,Carmine's,351,3.6,(312) 988-7676,"1043 N. Rush Street, Chicago",60611,"Italian,Steakhouse"
233,Kerryman,119,3.6,(312) 335-8121,661 N. Clark Street,60610,"Bar Food,Burger"
234,The Grafton Irish Pub,126,3.8,(773) 271-9000,"4530 N. Lincoln Avenue, Chicago",60625,"American,Bar Food"
235,Al's Char-house,89,3.4,(708) 354-6255,32 S. La Grange Road,60525,Steakhouse
236,The Bedford,47,3.4,(773) 235-8800,"1612 W. Division Street, Chicago",60622,New American
237,Barrio Fiesta,7,3,(708) 730-3100,"574 Torrence Avenue, Chicago",60409,"American,Filipino,Mexican"
238,Sun Shui Restaurant,155,3.8,(847) 870-8888,155 W. Rand Road,60004,"Chinese,Sushi"
239,Pizza Art Cafe,230,3.6,(773) 539-0645,4658 N. Rockwell Street,60625,"Italian,Mediterranean,Pizza"
240,Sharko's BBQ,29,3.3,(630) 717-7227,4931 S. Route 59,60564,BBQ
241,Bluegrass,141,4,(847) 831-0595,"1636 Old Deerfield Road, Highland Park",60035,"American,BBQ,Cajun"
243,Sarkis Cafe,942,4,(847) 328-9703,2632 Gross Point Road,60201,American
244,Yummy Thai,81,3.6,(312) 633-0003,"1418 W. Taylor Street, Chicago",60607,Thai
245,Salonica,130,3.8,(773) 752-3899,"1440 E. 57th Street, Chicago",60637,"American,Greek"
246,Rocco's Little Italy,128,4,(708) 444-8259,7907 W. 159th Street,60477,Italian
247,Pannenkoeken Cafe,93,3.5,(773) 769-8800,"4757 N. Western Avenue, Chicago",60659,"Cafe,European"
248,Mitchell's Tap,10,2.8,(773) 927-6073,"3356 S. Halsted Street, Chicago",60608,"Bar Food,Pizza,Sandwich,American"
249,Old Town Pour House,48,3.5,(312) 477-2800,"1419 N. Wells Street, Chicago",60610,American
250,Taste of Peru,113,3.3,(773) 381-4540,"6545 N. Clark Street, Chicago",60626,"Peruvian,South American"
251,Andy's Thai Kitchen,45,4,(773) 549-7821,"946 W Wellington Ave, Chicago",60657,Thai
252,The Palm Restaurant,89,3.3,(312) 616-1000,"Swissotel, 323 E. Wacker Drive, 1st Floor, Chicago",60601,"American,Steakhouse,Seafood,Italian"
253,Chef Ping,145,4,(847) 981-8888,1755 Algonquin Road,60008,"Asian,Chinese"
254,Uncle Bub's,306,3.9,(630) 493-9000,132 S. Cass Avenue,60559,"American,BBQ"
255,Las Tablas Colombian Steakhouse,119,3.8,(773) 202-0999,4920 W. Irving Park Road,60641,"Colombian,Steakhouse"
256,Avli Estiatorio,339,4.5,(847) 446-9300,566 Chestnut,60093,Greek
