ltable_id,rtable_id,label
tt0054195,1016512-pollyanna,1
tt0100419,problem_child,1
tt0463960,the_devil_inside,0
tt0432348,saw_ii,1
tt0110146,intersection,1
tt2183056,gate-to-heaven,0
tt0082971,et_the_extraterrestrial,0
tt0101821,ernest-scared-stupid,1
tt0092675,bloodsport,1
tt0027800,1038518-raven,0
tt0096378,vibes,1
tt1153543,cell_2,0
tt2171902,happy_valley_2014,1
tt1142988,beautiful_truth,0
tt0082377,final_conflict_omen_iii,0
tt0102655,lethal_weapon_3,0
tt0760185,painted_veil,0
tt0119544,little_boy_blue,0
tt0100212,steel_magnolias,0
tt0410297,the_11th_hour_2006,0
tt0074540,the-food-of-the-gods,1
tt0368008,my_flesh_and_blood,0
tt0126916,for_love_of_the_game,1
tt0100157,misery,1
tt0101516,bugsy,1
tt0457400,platoon_of_the_dead,0
tt0043338,place_in_the_sun,0
tt1951265,the_hunger_games_mockingjay_part_2_the_imax_experience,0
tt0329774,war_of_the_worlds,0
tt3214068,771430823,0
tt1337137,survival_of_the_dead,0
tt1821658,the_nut_job,1
tt0163187,other_sister,0
tt1605783,to_rome_with_love,0
tt0959337,reservation_road,0
tt0043924,place_in_the_sun,1
tt0119502,holy_man,0
tt0462322,grindhouse,1
tt0096874,return_of_the_living_dead_2,0
tt0283530,the_razors_edge,0
tt1436568,assassination_games,1
tt1170358,the_hobbit_an_unexpected_journey,0
tt0106223,young-indiana-jones-and-the-hollywood-follies,0
tt1666801,the_mend,0
tt0322330,mean_girls,0
tt0471042,ivory_tower_2010,0
tt0396652,barbie_as_the_princess_and_the_pauper,0
tt0067927,1022504-vanishing_point,1
tt1787837,somos_lo_que_hay,0
tt0099674,back_to_the_future_2,0
tt0048554,1004906-creature_from_the_black_lagoon,0
tt3312160,the_stranger_2015,0
tt1621039,a_free_bird,0
tt0251075,evolution2002,0
tt1915581,side_effects_2013,0
tt0077663,1009427-heaven_can_wait,1
tt1477076,saw3d,1
tt1650043,diary_of_a_wimpy_kid_dog_days,0
tt1667310,deadline_2012,0
tt0368891,final_examination,0
tt0198386,the_cell_2000,0
tt2946762,god_bless_the_child_2015,1
tt3003470,happy_christmas,0
tt0952640,1184827-alvin_and_the_chipmunks,1
tt0395169,hotel_2003,0
tt4196776,untitled_wolverine_sequel,0
tt0864761,1185801-the_express,0
tt0106665,dark_tide,1
tt0319470,wait,0
tt0082200,continental_divide,1
tt0103670,american_ninja_v,0
tt3546802,roger_waters_the_wall,0
tt0105698,universal_soldier,1
tt0167261,lord_of_the_rings_the_fellowship_of_the_ring_extended,0
tt0043778,red_planet_mars,0
tt0232500,princess_and_the_pea_2002,0
tt3467412,racing_extinction,0
tt0041547,1007154-father_of_the_bride,0
tt0497432,reader,0
tt2306783,the_family_tree,0
tt0097731,let_it_ride,1
tt0314166,december_7th_the_movie,0
tt0092513,adventures_in_babysitting,1
tt0109297,1068182-heat,0
tt0120723,missing_link_1999,0
tt2184339,the_purge_anarchy_2014,0
tt0117500,1062483-bad_boys,0
tt0119011,1093614-double_jeopardy,0
tt0455944,southpaw_2015,0
tt0088993,1024232-year_of_the_dragon,0
tt0396752,1153987-nanny_mcphee,1
tt0094072,back-to-school,0
tt0109506,crow,1
tt2180411,maps_to_the_stars,0
tt0478087,ugly_truth,0
tt0104694,league_of_their_own,1
tt2380342,escape_plan,0
tt0331632,1145385-unleashed,0
tt0195685,1103281-traffic,0
tt0051622,1007600-fly,1
tt2272350,the_master_2011,0
tt0363473,mind_the_gap,0
tt2634658,dont_look_back_2014,0
tt0263757,mean_girls,0
tt0268695,1112951-time_machine,1
tt0457297,perfect_man,0
tt0119432,jungle_2_jungle,1
tt0109198,before-your-eyes-angelies-secret,0
tt0091338,to_live_and_die_in_la,0
tt1279935,fright_night-2011,0
tt1091191,the_last_survivors,0
tt1103153,1205971-camille,0
tt0111280,star_trek_generations,1
tt2347497,shark_night_3d,0
tt0372784,prestige,0
tt1860300,paranormal_activity_2,0
tt0051658,gigi,1
tt0032637,invisible_man_returns,0
tt4984930,the_mend,0
tt0053363,13_ghosts,0
tt0105411,trust_1991,0
tt1606389,the_victim_2011,0
tt3774466,spare_parts_2015,0
tt0166485,jeanne_and_the_perfect_guy_1999,0
tt2053463,side_effects_2013,1
tt1341341,ceremony_2010,1
tt0212985,gladiator,0
tt1560747,the_three_musketeers_2011,0
tt1663708,killers_2010,0
tt0476964,omen,0
tt0103262,1041862-forever_young,0
tt0047422,river_of_no_return,1
tt0055031,1010555-inherit_the_wind,0
tt2017486,rob_the_mob,0
tt0113080,flirt,1
tt0372784,1153339-creep,0
tt1985966,cloudy_with_a_chance_of_meatballs_2_2013,1
tt1183921,fourth_kind,0
tt0436697,queen,1
tt0097659,1011487-kickboxer,1
tt0379786,serenity,1
tt0898367,10009055-rocker,0
tt0092099,beverly_hills_cop_2,0
tt0077869,lord_of_the_rings,1
tt0266915,rush_hour_2,1
tt0091790,some_kind_of_wonderful,0
tt2955096,krampus_the_christmas_devil,0
tt2690634,the_boy_2015,0
tt0980970,ano_bisiesto,0
tt0022550,1061171-old_dark_house,0
tt1125849,10011124-watch,0
tt0088708,born_american,0
tt0100258,children_of_the_night,0
tt1600196,the_33,0
tt2006295,the_walk_2015,0
tt1537381,the_american_scream_2012,0
tt1023114,way_of_the_puck,0
tt0218967,1093551-best_man,0
tt0028092,pennies_from_heaven_1936,1
tt3040412,battle_of_the_year,0
tt1951265,the_hunger_games_catching_fire,0
tt0469903,1185801-the_express,1
tt0092626,1017002-quick_and_the_dead,0
tt0419434,hardcore_2005,0
tt2435514,771357233,0
tt3569374,the_night_before_2015,0
tt1535970,the_lion_king,0
tt2926810,abcs_of_death_2,1
tt2692904,locke,1
tt0190590,man_who_wasnt_there,0
tt2322482,if_you_build_it,1
tt2231253,heat_2013,1
tt0119784,boogie_nights,0
tt2025690,the_forest_2016,0
tt0100405,pretty_woman,1
tt0048728,dial_m_for_murder,0
tt0175880,rushmore,0
tt0123977,1093745-love_bug,0
tt0974661,you_again,0
tt0353324,the_wicker_man_2006,0
tt0407732,dirty_shame,0
tt1634300,paranormal_activity_2,0
tt0057449,the_intruder_1962,0
tt0887912,10009055-rocker,0
tt0892059,great_debaters,0
tt0095756,not_of_this_earth_1988,1
tt0098621,food-of-the-gods-ii,0
tt0103262,wild_at_heart,0
tt1298649,the_waiting_room_2012,0
tt0183505,me_myself_i,0
tt0101587,tremors,0
tt0110475,1059165-crew,0
tt0087262,1004567-commando,0
tt0482571,murder_at_the_presidio,0
tt1235837,happily-never-after-2,1
tt0080749,jerk,0
tt2582846,the_fault_in_our_stars,1
tt0453467,deja_vu,1
tt0099685,1037581-cape_fear,0
tt0108002,rudy,1
tt0113870,it_runs_in_the_family_1994,0
tt0305206,1118347-quiet_american,0
tt1869716,the_drop,0
tt0892318,bride_wars,0
tt3722420,the_stranger_2015,0
tt2025690,the_finest_hours_an_imax_3d_experience,1
tt2294677,in_a_world_2013,1
tt2788710,the_intern,0
tt1613092,happy_2011,1
tt2095742,paranormal_activity_2,0
tt1601913,a_team,0
tt3297330,good_kill,1
tt0417001,must_love_dogs,1
tt0089118,big_shots,0
tt0371746,iron_man,1
tt0024115,the-conquerors1932,0
tt0036261,phantom_of_the_opera_1943,1
tt0082474,the_grim_reaper_1980,0
tt0318974,the_animatrix,0
tt0270560,our_lips_are_sealed,1
tt0030657,1009437-heidi,0
tt0356470,cinderella_man,0
tt0082812,1015095-nighthawks,0
tt0844012,princess_diaries_2_royal_engagement,0
tt0085334,1004151-christmas_story,1
tt0032376,topper_returns,0
tt0101912,1037161-frankie_and_johnny,1
tt2235779,the_one_i_love,0
tt0396707,secret_handshake,0
tt0963966,sorcerers_apprentice,1
tt2309260,the_falling_2014,0
tt0166485,all_the_kings_men_2000,0
tt0053085,1010004-hound_of_the_baskervilles,0
