id,name,release date,director,duration,genre
1007818-frankenstein,Frankenstein,"Nov 21, 1931 Wide",James Whale,1 hr. 10 min.,"Horror,Classics,Science Fiction & Fantasy,Special Interest"
big_house,The Big House,"May 14, 1930 Wide","George Hill,George W. Hill",1 hr. 27 min.,"Drama,Classics"
tcm_presents_dracula,Tcm Presents Dracula,"Oct 28, 2015 Limited",Tod Browning,,"Horror,Special Interest"
1154157-big_mommas_house_2,Big Momma's House 2,"Jan 27, 2006 Wide","John P. Whitesell,Elton LeBlanc,Emily Procter,Emily Proctor,Kat Dennings,Marisol Nichols,Mark Moses,Martin Lawrence,Michelle Parylak,Nia Long,Sarah Brown,Stacy Keibler,John Whitesell",,Comedy
1038237-platinum_blonde,Platinum Blonde,"Oct 31, 1931 Limited",Frank Capra,1 hr. 29 min.,"Romance,Classics,Comedy"
1006236-dracula,Dracula,"Jul 20, 1979 Wide",John Badham,1 hr. 50 min.,"Drama,Horror,Romance,Art House & International"
hells_angels,Hell's Angels,"Nov 15, 1930 Limited","Edmund Goulding,Howard Hughes,Marshall Neilan,Luther Reed,James Whale,Howard R. Hughes",2 hr. 15 min.,"Drama,Action & Adventure,Classics"
our-daily-bread-city-girl,City Girl,"Feb 9, 1930 Wide","F.W. Murnau,Friedrich Wilhelm Murnau",1 hr. 30 min.,"Drama,Romance,Classics"
1006234-dracula,Dracula,"Jan 1, 1931 Wide",Tod Browning,1 hr. 15 min.,"Classics,Horror"
1000642-all_quiet_on_the_western_front,All Quiet on the Western Front,"Aug 24, 1930 Wide",Lewis Milestone,2 hr. 14 min.,"Drama,Classics"
1014137-monkey_business,Monkey Business,"Sep 19, 1931 Wide","Norman McLeod,Norman Z. McLeod",1 hr. 17 min.,"Classics,Comedy"
little_caesar,Little Caesar,"Jan 25, 1931 Limited",Mervyn LeRoy,1 hr. 20 min.,"Drama,Classics"
night-call-nurses,Night Call Nurses,"Jan 1, 1972 Wide",Jonathan Kaplan,1 hr. 25 min.,"Action & Adventure,Horror,Classics,Comedy,Cult Movies"
1035050-night_nurse,Night Nurse,"Aug 8, 1931 Wide","William Wellman,Igor Auzins",1 hr. 12 min.,Drama
last_flight_of_noahs_ark,The Last Flight of Noah's Ark,"Jun 25, 1980 Wide",Charles Jarrott,1 hr. 37 min.,"Action & Adventure,Kids & Family"
1014138-monkey_business,Monkey Business,"Sep 5, 1952 Wide",Howard Hawks,1 hr. 32 min.,"Drama,Classics,Science Fiction & Fantasy,Comedy"
instinct_de_mort,Mesrine: Killer Instinct (L'instinct de mort),"Aug 27, 2010 Limited",Jean-François Richet,,"Drama,Action & Adventure,Art House & International"
1030142-champ,The Champ,"Nov 21, 1931 Wide",King Vidor,1 hr. 27 min.,"Drama,Kids & Family,Classics"
resurrecting_the_champ,Resurrecting the Champ,"Aug 24, 2007 Wide",Rod Lurie,,Drama
10008038-waterloo_bridge,Waterloo Bridge,"Sep 1, 1931 Wide",James Whale,,Drama
im_crazy_about_iris_blond_1999,I'm Crazy About Iris Blond,"May 14, 1999 Limited",Carlo Verdone,1 hr. 50 min.,"Art House & International,Romance"
the-last-flight,The Last Flight,"Feb 14, 2005 Wide",Doron Kipper,,Comedy
1003854-champ,The Champ,"Mar 20, 1979 Wide",Franco Zeffirelli,2 hr. 3 min.,"Sports & Fitness,Drama"
waterloo_bridge,Waterloo Bridge,"May 17, 1940 Wide","Mervyn LeRoy,Mervyn Le Roy",1 hr. 49 min.,"Drama,Romance,Classics"
10002692-smart_money,Smart Money,"Jul 11, 1931 Wide","Edward G. Robinson,James Cagney,Margaret Livingston,Ralf Harolde,Noel Francis,Evalyn Knapp,Alfred E. Green",1 hr. 30 min.,"Drama,Classics"
blonde_crazy,Blonde Crazy,"Jan 1, 1931 Wide",Roy Del Ruth,1 hr. 21 min.,"Drama,Romance,Comedy"
1016885-public_enemy,The Public Enemy,"Apr 23, 1931 Wide",William Wellman,1 hr. 24 min.,"Drama,Action & Adventure,Musical & Performing Arts,Classics"
free_soul,A Free Soul,"Jun 20, 1931 Wide",Clarence Brown,1 hr. 34 min.,"Drama,Romance,Classics"
illicit_behavior,Illicit Behavior,"Jun 1, 1991 Wide",Worth Keeter,,"Mystery & Suspense,Action & Adventure"
1046579-cimarron,Cimarron,"Dec 1, 1960 Wide","Charles Walters,Anthony Mann",2 hr. 27 min.,"Western,Drama,Classics"
spirit_stallion_of_the_cimarron,Spirit - Stallion of the Cimarron,"May 24, 2002 Wide","Lorna Cook,Kelly Asbury",,"Drama,Animation,Kids & Family"
10009526-public_enemies,Public Enemies,"Jul 1, 2009 Wide",Michael Mann,,"Drama,Action & Adventure"
1004177-cimarron,Cimarron,"Jan 26, 1931 Wide",Wesley Ruggles,2 hr. 10 min.,"Western,Drama,Classics"
city_lights,City Lights,"Mar 7, 1931 Wide",Charles Chaplin,1 hr. 30 min.,"Drama,Romance,Classics,Comedy"
illicit_dreams,Illicit Dreams,"Jun 1, 1994 Wide",Andrew Stevens,,"Mystery & Suspense,Drama"
1046568-illicit,Illicit,"Feb 14, 1931 Wide",Archie Mayo,1 hr. 16 min.,"Drama,Romance,Classics"
white_zombie,White Zombie,"Aug 4, 1932 Wide",Victor Halperin,1 hr. 13 min.,"Classics,Horror"
10003373-old_dark_house,The Old Dark House,"Oct 31, 1963 Wide",William Castle,,"Horror,Mystery & Suspense,Comedy"
1061171-old_dark_house,The Old Dark House,"Jan 1, 1932 Wide",James Whale,1 hr. 11 min.,"Horror,Mystery & Suspense,Classics,Comedy"
island_of_lost_souls_1974,Island of Lost Souls,"Aug 8, 1974 Wide","René Cardona,René Cardona Sr.",,"Drama,Action & Adventure,Art House & International,Mystery & Suspense,Classics"
1068787-last_of_the_mohicans,The Last of the Mohicans,"Nov 21, 1920 Wide","Maurice Tourneur,Clarence Brown",6 min.,"Drama,Action & Adventure,Classics"
island_of_lost_souls_2007,Island of Lost Souls,"Feb 9, 2007 Wide","Lee Sang-hoon II,Nikolaj Arcel,Nicolaj Arcel",1 hr. 40 min.,"Action & Adventure,Art House & International,Comedy,Kids & Family,Mystery & Suspense,Science Fiction & Fantasy"
1087270-mummy,The Mummy,"Jun 1, 1999 Wide","Adrian Biddle,Arnold Vosloo,Brendan Fraser,John Hannah,Kevin J. O'Connor,Oded Fehr,Rachel Weisz,Stephen Dunham,Stephen Sommers",2 hr. 5 min.,"Action & Adventure,Horror,Mystery & Suspense"
the_mummy_2017,The Mummy,"Mar 24, 2017 Wide",Alex Kurtzman,,"Action & Adventure,Science Fiction & Fantasy"
freaks,Freaks,"Feb 20, 1932 Wide",Tod Browning,1 hr. 4 min.,"Drama,Horror,Mystery & Suspense,Classics"
1014370-mummy,The Mummy,"Dec 22, 1932 Wide","Karl Freund,Karl W. Freund",1 hr. 12 min.,"Horror,Romance,Classics"
vampires_assistant,Cirque du Freak: The Vampire's Assistant,"Oct 23, 2009 Wide",Paul Weitz,,"Action & Adventure,Horror,Kids & Family,Science Fiction & Fantasy"
1040678-last_of_the_mohicans,The Last of the Mohicans,"Sep 25, 1992 Wide",Michael Mann,1 hr. 54 min.,"Drama,Action & Adventure,Romance"
grand_hotel,Grand Hotel,"Jan 1, 1932 Limited",Edmund Goulding,1 hr. 42 min.,"Drama,Romance,Classics"
the_jesus_freak,The Jesus Freak,"Dec 11, 2015 Limited",Carl Jackson,,"Drama,Comedy"
shopworn,Shopworn,"Mar 25, 1932 Wide",Nick Grinde,,"Drama,Romance,Classics"
island_of_lost_souls_1933,Island of Lost Souls,"Jan 1, 1933 Wide",Erle C. Kenton,1 hr. 11 min.,"Horror,Classics,Science Fiction & Fantasy"
1030868-three_on_a_match,Three on a Match,"Oct 29, 1932 Wide",Mervyn LeRoy,1 hr. 4 min.,"Drama,Romance,Classics"
the_grand_budapest_hotel,The Grand Budapest Hotel,"Mar 7, 2014 Limited",Wes Anderson,1 hr. 39 min.,"Drama,Comedy"
millionaires_express,Foo gwai lit che (Millionaire's Express) (Shanghai Express) (Wealthy Train),"Jan 30, 1986 Wide",Sammo Hung Kam-Bo,,"Western,Action & Adventure,Comedy"
1043598-shanghai_express,Shanghai Express,"Feb 12, 1932 Limited",Josef von Sternberg,1 hr. 20 min.,"Drama,Action & Adventure,Romance,Classics"
1018323-scarface,Scarface,"Apr 9, 1932 Wide",Howard Hawks,1 hr. 34 min.,"Drama,Classics"
1030244-red_dust,Red Dust,"Jan 1, 1932 Wide",Victor Fleming,1 hr. 23 min.,"Drama,Romance"
10004812-red_dust,Red Dust,"Jan 1, 2004 Wide",Tom Hooper,1 hr. 50 min.,Drama
the-conquerors1932,The Conquerors,"Nov 18, 1932 Wide",William Wellman,,"Drama,Action & Adventure,Classics"
trouble_in_paradise_2003,Trouble In Paradise,"Jan 1, 2003 Wide",Dave Coleman,,"Drama,Special Interest"
trouble_in_paradise,Trouble in Paradise,"May 16, 1989 Wide",Di Drew,,"Drama,Action & Adventure,Television,Comedy"
fullmetal_alchemist_the_movie_conqueror_of_shamballa,Fullmetal Alchemist the Movie: Conqueror of Shamballa,"Jan 1, 2005 Wide",Seiji Mizushima,1 hr. 44 min.,"Drama,Action & Adventure,Animation,Science Fiction & Fantasy"
1118325-trouble_in_paradise,Trouble in Paradise,"Oct 21, 1932 Limited",Ernst Lubitsch,1 hr. 23 min.,"Drama,Classics,Comedy"
murders_in_the_rue_morgue_1971,Murders in the Rue Morgue,"Sep 1, 1971 Wide","Gordon Hessler,Robert Florey",,"Mystery & Suspense,Horror"
scarface,Scarface,"Dec 9, 1983 Wide",Brian DePalma,,"Drama,Action & Adventure,Mystery & Suspense"
rockabye_1933,Rockabye,"Jan 1, 1933 Wide",George Cukor,,"Drama,Romance"
baby-face-nelson,Baby Face Nelson,"Jun 1, 1995 Wide","Scott Levy,Scott P. Levy",1 hr. 21 min.,"Drama,Action & Adventure"
anthar-linvincibiledevil-of-the-desert-against-the-son-of-hercules,Anthar l'invincibile (Devil of the Desert Against the Son of Hercules),"Jun 27, 1964 Wide",Antonio Margheriti,,"Action & Adventure,Science Fiction & Fantasy"
madame_butterfly_1996,Madame Butterfly,"May 3, 1996 Wide","Frédéric Mitterrand,Frederic Mitterand,Frédéric Mitterrand",2 hr. 15 min.,"Musical & Performing Arts,Art House & International"
the_son_of_king_kong,The Son Of King Kong,"Jan 1, 2003 Wide",Timo Vainikka,,Horror
1011617-king_kong,King Kong,"Dec 17, 1976 Wide",John Guillermin,2 hr. 14 min.,"Action & Adventure,Horror,Science Fiction & Fantasy"
baby_face,Baby Face,"Jun 23, 1933 Wide",Alfred E. Green,1 hr. 10 min.,"Drama,Classics"
sons_of_the_desert,Sons of the Desert,"Sep 29, 1933 Limited","Charley Chase,Dorothy Christy,Lloyd French,Lucien Littlefield,Mae Busch,Oliver Hardy,Stan Laurel,William A. Seiter",,"Classics,Comedy"
1011615-king_kong,King Kong,"Jan 1, 1933 Wide","Ernest B. Schoedsack,Merian C. Cooper",1 hr. 43 min.,"Action & Adventure,Horror,Classics"
invisible_mans_revenge,The Invisible Man's Revenge,"Jun 6, 1944 Wide","Ford Beebe,Ford I. Beebe",1 hr. 18 min.,"Horror,Mystery & Suspense,Science Fiction & Fantasy"
son_of_kong,Son of Kong,"Dec 22, 1933 Wide",Ernest B. Schoedsack,1 hr. 10 min.,"Action & Adventure,Horror,Classics,Comedy"
invisible_man_returns,The Invisible Man Returns,"Jan 12, 1940 Wide",Joe May,1 hr. 21 min.,"Drama,Horror,Mystery & Suspense,Classics,Science Fiction & Fantasy"
gold_diggers_of_1937,Gold Diggers of 1937,"Jan 1, 1937 Limited","Lloyd Bacon,Busby Berkeley",,"Romance,Musical & Performing Arts,Classics,Comedy"
1010695-invisible_man,The Invisible Man,"Nov 13, 1933 Wide",James Whale,1 hr. 12 min.,"Horror,Classics,Science Fiction & Fantasy,Comedy"
gold_diggers_of_1935,Gold Diggers of 1935,"Mar 15, 1935 Wide","Busby Berkeley,Lloyd Bacon",1 hr. 40 min.,"Musical & Performing Arts,Classics,Comedy"
king_kong,King Kong,"Dec 14, 2005 Wide",Peter Jackson,,Action & Adventure
a_midsummer_nights_dream_2014,A Midsummer Night's Dream,"Jun 22, 2015 Wide",Julie Taymor,,"Art House & International,Comedy"
gold_diggers_of_1933,Gold Diggers of 1933,"May 27, 1933 Wide",Mervyn LeRoy,1 hr. 36 min.,Musical & Performing Arts
dark_was_the_night,Dark Was The Night,"Jul 24, 2015 Limited",Jack Heller,1 hr. 34 min.,"Drama,Horror,Mystery & Suspense"
the_night_before_2015,The Night Before,"Nov 20, 2015 Wide",Jonathan Levine,,Comedy
duck_soup,Duck Soup,"Nov 17, 1933 Wide",Leo McCarey,1 hr. 9 min.,"Classics,Comedy"
1012525-little_women,Little Women,"Mar 10, 1949 Wide",Mervyn LeRoy,2 hr. 1 min.,"Drama,Kids & Family,Romance,Classics"
vampire_bat,The Vampire Bat (Blood Sucker) (Forced to Sin),"Jan 21, 1933 Wide","Frank R. Strayer,Frank Strayer",1 hr. 9 min.,"Horror,Mystery & Suspense,Classics,Science Fiction & Fantasy"
vampire-bats,Vampire Bats,"Oct 30, 2005 Wide","Eric Boss,Eric Bross",,"Action & Adventure,Television,Drama,Horror,Mystery & Suspense,Science Fiction & Fantasy"
cavalcade2005,Cavalcade,"May 19, 2005 Wide",Steve Suissa,,Drama
l-change-the-world,L: Change the World,"Jan 31, 2008 Wide",Hideo Nakata,,Mystery & Suspense
no_other_woman_2011,No Other Woman,"Oct 7, 2011 Limited",Ruel S. Bayani,,"Drama,Romance"
the_other_woman_2011,The Other Woman,"Feb 4, 2011 Limited",Don Roos,,Drama
cavalcade,Cavalcade,"Jan 1, 1933 Wide",Frank Lloyd,1 hr. 50 min.,"Drama,Romance,Classics"
little-giant,Little Giant,"Feb 22, 1946 Wide",William A. Seiter,,"Drama,Classics,Comedy"
the-little-giant,The Little Giant,"May 20, 1933 Wide",Roy Del Ruth,1 hr. 15 min.,"Drama,Classics,Cult Movies"
how_to_change_the_world,How To Change The World,"Sep 9, 2015 Limited",Jerry Rothwell,,"Documentary,Special Interest"
little_giants,Little Giants,"Oct 14, 1994 Wide","Duwayne Dunham,Brian Levant",1 hr. 45 min.,"Comedy,Kids & Family"
topaze-1951,Topaze,"Jan 1, 1951 Wide",Marcel Pagnol,,"Art House & International,Drama"
the-world-changes,The World Changes,"Nov 25, 1933 Wide",Mervyn LeRoy,,Drama
the_other_woman_2014,The Other Woman,"Apr 25, 2014 Wide",Nick Cassavetes,,Comedy
1029526-topaze,Topaze,"Jan 1, 1933 Wide",Harry d'Abbadie d'Arrast,,"Drama,Classics,Comedy"
1012524-little_women,Little Women,"Nov 16, 1933 Wide",George Cukor,1 hr. 55 min.,"Drama,Kids & Family,Romance,Classics"
1058517-little_women,Little Women,"Dec 21, 1994 Wide",Gillian Armstrong,,"Drama,Romance"
vanya_on_42nd_street,Vanya on 42nd Street,"Jun 1, 1995 Wide",Louis Malle,1 hr. 59 min.,"Drama,Comedy,Special Interest"
42nd_street,42nd Street,"Mar 9, 1933 Wide",Lloyd Bacon,1 hr. 29 min.,Musical & Performing Arts
1012455-little_miss_marker,Little Miss Marker,"Mar 21, 1980 Wide",Walter Bernstein,1 hr. 43 min.,"Drama,Romance,Comedy"
little_miss_marker,Little Miss Marker,"Jun 1, 1934 Wide",Alexander Hall,1 hr. 28 min.,"Drama,Kids & Family,Classics,Comedy"
1029408-bombshell,Bombshell (Blonde Bombshell),"Oct 13, 1933 Limited",Victor Fleming,1 hr. 36 min.,"Drama,Romance,Classics,Comedy"
the-lady-gambles,The Lady Gambles,"May 20, 1949 Wide",Michael Gordon,,Drama
gambling-lady,Gambling Lady,"Mar 31, 1934 Wide",Archie Mayo,,"Drama,Romance,Classics"
the-eagle-and-the-hawk-spread-eagle,The Eagle and the Hawk (Spread Eagle),"May 30, 1950 Wide",Lewis R. Foster,,"Western,Classics"
1021963-treasure_island,Treasure Island,"Aug 17, 1934 Wide",Victor Fleming,1 hr. 42 min.,"Classics,Action & Adventure"
the_eagle_and_the_hawk_1962,The Eagle And The Hawk,"Jan 1, 1962 Wide",Lewis R. Foster,,Drama
im_no_angel,I'm No Angel,"Oct 6, 1933 Wide",Wesley Ruggles,1 hr. 28 min.,"Romance,Classics,Comedy"
1021964-treasure_island,Treasure Island,"Jul 19, 1950 Wide",Byron Haskin,1 hr. 36 min.,"Action & Adventure,Kids & Family,Classics"
1116410-treasure_island,Treasure Island,"Aug 17, 1998 Wide",Peter Rowe,,"Drama,Action & Adventure,Kids & Family,Art House & International"
eagle_and_the_hawk,The Eagle and the Hawk,"May 6, 1933 Wide",Stuart Walker,1 hr. 8 min.,"Drama,Action & Adventure,Classics"
1121961-lady_killer,Lady Killer,"Apr 5, 1995 Wide",Steven Schachter,,"Drama,Action & Adventure,Mystery & Suspense"
1035049-lady_killer,Lady Killer,"Jan 1, 1933 Wide",Roy Del Ruth,1 hr. 14 min.,"Action & Adventure,Mystery & Suspense,Classics,Comedy"
pusher_iii_im_the_angel_of_death,Pusher III: I'm the Angel of Death,"Sep 2, 2005 Limited",Nicolas Winding Refn,1 hr. 47 min.,"Drama,Action & Adventure,Art House & International,Comedy"
1070943-now_and_forever,Now and Forever,"Jan 1, 1934 Wide",Henry Hathaway,1 hr. 21 min.,"Drama,Romance,Classics"
the-barretts-of-wimpole-street-1957,The Barretts of Wimpole Street,"Jan 16, 1957 Wide",Sidney Franklin,,"Drama,Romance,Classics"
barretts_of_wimpole_street,The Barretts of Wimpole Street,"Sep 8, 1934 Wide",Sidney Franklin,1 hr. 50 min.,"Drama,Romance,Classics"
beware-the-moon-remembering-an-american-werewolf-in-london-2009,Beware the Moon: Remembering 'An American Werewolf in London',"Aug 28, 2009 Wide",Paul Davis,,Documentary
black_fury,Black Fury,"May 18, 1935 Limited",Michael Curtiz,1 hr. 34 min.,"Drama,Romance"
bride_of_frankenstein,The Bride of Frankenstein,"Apr 22, 1935 Wide",James Whale,1 hr. 15 min.,"Horror,Classics,Science Fiction & Fantasy,Special Interest"
werewolf_of_london,Werewolf of London,"May 13, 1935 Wide","Jean Yarbrough,Stuart Walker",1 hr. 15 min.,"Drama,Horror,Classics,Science Fiction & Fantasy"
1014482-mutiny_on_the_bounty,Mutiny on the Bounty,"Nov 8, 1962 Wide","Carol Reed,Lewis Milestone",2 hr. 59 min.,"Drama,Action & Adventure,Classics"
the_thin_man_goes_home,The Thin Man Goes Home,"Jun 1, 1945 Wide",Richard Thorpe,1 hr. 40 min.,"Drama,Action & Adventure,Mystery & Suspense,Classics,Comedy"
1014481-mutiny_on_the_bounty,Mutiny on the Bounty,"Nov 8, 1935 Wide",Frank Lloyd,2 hr. 2 min.,"Drama,Action & Adventure,Classics"
american_werewolf_in_london,An American Werewolf in London,"Aug 21, 1981 Wide",John Landis,1 hr. 37 min.,"Horror,Science Fiction & Fantasy,Comedy"
1005194-dangerous,Dangerous,"Jan 1, 1935 Wide",Alfred E. Green,1 hr. 12 min.,"Drama,Classics"
dangerous_company_2015,Dangerous Company,"Aug 15, 2015 Wide",Sheldon Larry,,"Art House & International,Mystery & Suspense"
now_and_forever_1958,Now and Forever,"Jun 21, 1958 Wide",Mario Zampi,,"Drama,Art House & International,Mystery & Suspense"
the_black_cat_1941,The Black Cat,"Nov 1, 1941 Wide","Albert S. Rogell,Albert Rogell",1 hr. 10 min.,"Horror,Mystery & Suspense,Classics,Comedy"
thin_man,The Thin Man,"May 23, 1934 Wide",W.S. Van Dyke,1 hr. 33 min.,"Mystery & Suspense,Classics,Comedy"
the_black_cat_1981,The Black Cat,"Apr 4, 1981 Wide",Lucio Fulci,1 hr. 32 min.,"Drama,Horror,Art House & International,Mystery & Suspense"
1014294-moulin_rouge,Moulin Rouge,"Dec 23, 1952 Wide",John Huston,1 hr. 59 min.,"Drama,Musical & Performing Arts,Classics"
hollywood-party,Hollywood Party,"Jun 1, 1934 Wide","George Stevens Jr.,Richard Boleslawski,Allan Dwan,Roy Rowland,Charles 'Chuck' Riesner,Sam Wood,Edmund Goulding,George Stevens",1 hr. 12 min.,"Musical & Performing Arts,Classics,Comedy"
twentieth_century,Twentieth Century,"May 11, 1934 Limited",Howard Hawks,1 hr. 31 min.,"Romance,Classics,Comedy"
1107863-moulin_rouge,Moulin Rouge!,"May 16, 2001 Wide",Baz Luhrmann,,"Drama,Romance,Musical & Performing Arts"
1015002-night_at_the_opera,A Night at the Opera,"Nov 8, 1935 Wide",Sam Wood,1 hr. 32 min.,"Romance,Musical & Performing Arts,Classics,Comedy"
suicide-squad,Suicide Squad,"Dec 3, 1935 Wide","Bernard B. Ray,Raymond K. Johnson",,"Drama,Action & Adventure,Classics"
1001079-annie_oakley,Annie Oakley,"Nov 15, 1935 Wide","George Stevens,George Stevens Jr.",1 hr. 30 min.,"Documentary,Western,Drama,Classics"
1020815-tale_of_two_cities,A Tale of Two Cities,"Aug 4, 1958 Wide",Ralph Thomas,1 hr. 57 min.,"Drama,Romance"
bordertown2007,Bordertown,"Jan 23, 1935 Wide","Gregory Nava,Archie Mayo",,"Western,Drama,Classics"
10008510-bordertown,Bordertown,"Jan 29, 2008 Wide",Gregory Nava,1 hr. 51 min.,"Drama,Action & Adventure,Mystery & Suspense"
1041674-tale_of_two_cities,A Tale of Two Cities,"Dec 2, 1980 Wide",Jim Goddard,2 hr. 36 min.,Drama
1038518-raven,The Raven,"Jul 8, 1935 Wide","Lew Landers,Louis Friedlander",1 hr. 2 min.,"Classics,Horror"
suicide_squad_2016,Suicide Squad,"Aug 5, 2016 Wide",David Ayer,,Action & Adventure
1097209-david_copperfield,David Copperfield,"Apr 16, 1999 Wide",Simon Curtis,3 hr. 5 min.,"Drama,Television"
1005323-david_copperfield,David Copperfield,"Jan 8, 1935 Wide",George Cukor,2 hr. 12 min.,"Drama,Action & Adventure,Classics"
1020814-tale_of_two_cities,A Tale of Two Cities,"Jan 1, 1935 Wide",Jack Conway,2 hr. 8 min.,"Drama,Romance,Classics"
1017222-raven,The Raven,"Jan 25, 1963 Limited",Roger Corman,,"Horror,Classics,Science Fiction & Fantasy,Comedy"
1047865-david_copperfield,David Copperfield,"Mar 15, 1970 Wide",Delbert Mann,1 hr. 58 min.,"Drama,Television"
the_raven_2012,The Raven,"Apr 27, 2012 Wide",James McTeigue,,Mystery & Suspense
three_smart_girls_grow_up,Three Smart Girls Grow Up,"Mar 24, 1939 Wide",Henry Koster,1 hr. 30 min.,"Romance,Musical & Performing Arts,Classics,Comedy"
pennies_from_heaven_1936,Pennies From Heaven,"Nov 25, 1936 Limited","Norman McLeod,Norman Z. McLeod",1 hr. 20 min.,"Drama,Musical & Performing Arts,Classics,Comedy"
three_smart_girls,Three Smart Girls,"Dec 20, 1936 Wide",Henry Koster,1 hr. 24 min.,"Musical & Performing Arts,Classics,Comedy"
1016119-pennies_from_heaven,Pennies From Heaven,"Dec 11, 1981 Wide",Herbert Ross,1 hr. 47 min.,"Drama,Romance,Musical & Performing Arts"
reefer_madness,Reefer Madness (Tell Your Children) (Doped Youth),"Aug 19, 2010 Limited","Louis Gasnier,Louis J. Gasnier,Herman Hertz",1 hr. 7 min.,"Drama,Classics,Cult Movies"
few_good_men,A Few Good Men,"Dec 11, 1992 Wide",Rob Reiner,2 hr. 18 min.,"Mystery & Suspense,Drama"
men_who_stare_at_goats,The Men Who Stare at Goats,"Nov 6, 2009 Wide",Grant Heslov,,"Drama,Comedy"
invisible_ray,The Invisible Ray,"Jan 1, 1936 Wide",Lambert Hillyer,,"Horror,Mystery & Suspense,Classics,Science Fiction & Fantasy"
1020256-stowaway,Stowaway,"Dec 25, 1936 Wide",William A. Seiter,1 hr. 26 min.,"Action & Adventure,Classics,Comedy,Drama,Kids & Family,Musical & Performing Arts"
the_girl_with_the_dragon_tattoo_2009,The Girl with the Dragon Tattoo,"Feb 27, 2009 Wide",Niels Arden Oplev,,"Drama,Art House & International,Mystery & Suspense"
1045335-my_man_godfrey,My Man Godfrey,"Dec 1, 1957 Wide","Henry Koster,Henry Coster",1 hr. 33 min.,"Classics,Comedy"
lincoln_center_sf_ballets_romeo_and_juliet,Lincoln Center: Sf Ballet's Romeo & Juliet,"Sep 24, 2015 Limited","Helgi Tomasson,Thomas Grimm",,Special Interest
reefer_madness_2005,Reefer Madness,"Jan 27, 2005 Limited",Andy Fickman,1 hr. 48 min.,"Drama,Musical & Performing Arts,Comedy"
draculas_daughter,Dracula's Daughter,"Jan 1, 1936 Wide","Enrique Tovar Ávalos,George Melford,Lambert Hillyer",1 hr. 11 min.,"Drama,Horror,Classics"
romeo_and_juliet_2012,Romeo and Juliet,"Oct 11, 2013 Wide",Carlo Carlei,,"Drama,Romance"
royal_opera_houses_romeo_and_juliet_live,Royal Opera House's Romeo And Juliet Live,"Sep 22, 2015 Limited",Kenneth MacMillan,,Special Interest
1014536-my_man_godfrey,My Man Godfrey,"Sep 6, 1936 Wide",Gregory La Cava,1 hr. 35 min.,"Drama,Romance,Classics,Comedy"
1020729-swing_time,Swing Time,"Sep 4, 1936 Limited","George Stevens,George Stevens Jr.",1 hr. 43 min.,"Romance,Musical & Performing Arts,Classics"
1196877-dimples,Dimples,"Jul 29, 2008 Wide",Dusty DePree,1 hr. 30 min.,"Mystery & Suspense,Horror"
1005868-dimples,Dimples,"Oct 16, 1936 Wide",William A. Seiter,1 hr. 18 min.,"Action & Adventure,Classics,Comedy,Drama,Kids & Family,Musical & Performing Arts"
poor-little-rich-girl-1965,Poor Little Rich Girl,"Jan 1, 1965 Wide",Andy Warhol,,"Art House & International,Special Interest"
1016522-poor_little_rich_girl,Poor Little Rich Girl,"Jul 24, 1936 Wide",Irving Cummings,1 hr. 19 min.,"Action & Adventure,Kids & Family,Romance,Musical & Performing Arts,Classics"
