id,name,release date,director,duration,genre
tt0069303,Sounder,10 May 1973 (France),Martin Ritt,105 min,"Drama,Family"
tt0028691,Captains Courageous,25 June 1937 (USA),Victor Fleming,117 min,"Adventure,Drama,Family"
tt0026261,Dangerous,25 December 1935 (USA),Alfred E. Green,79 min,Drama
tt0036230,Old Acquaintance,27 November 1943 (USA),Vincent Sherman,110 min,"Drama,Romance"
tt0110216,Junior,23 November 1994 (USA),Ivan Reitman,109 min,"Comedy,Romance,Sci-Fi"
tt0058745,Where Love Has Gone,2 November 1964 (USA),Edward Dmytryk,111 min,Drama
tt0022481,Three Who Loved,3 July 1931 (USA),George Archainbaud,64 min,Drama
tt0044166,The Unknown Man,16 November 1951 (USA),Richard Thorpe,86 min,"Crime,Drama,Film-Noir"
tt0023406,The Roadhouse Murder,6 May 1932 (USA),J. Walter Ruben,73 min,Thriller
tt0024320,Meet the Baron,20 October 1933 (USA),Walter Lang,68 min,Comedy
tt0033436,Buck Privates,31 January 1941 (USA),Arthur Lubin,84 min,"Comedy,Musical"
tt0037771,Here Come the Co-eds,2 February 1945 (USA),Jean Yarbrough,90 min,"Comedy,Music,Musical"
tt0047794,Abbott and Costello Meet the Keystone Kops,21 February 1955 (Sweden),Charles Lamont,80 min,Comedy
tt0018524,Uncle Tom's Cabin,2 September 1928 (USA),Harry A. Pollard,144 min,"Drama,History"
tt0057225,Kings of the Sun,18 December 1963 (USA),J. Lee Thompson,108 min,"Adventure,Drama,History"
tt0058104,Flight from Ashiya,25 March 1964 (USA),Michael Anderson,100 min,"Adventure,Romance,Drama"
tt0083113,Sphinx,11 February 1981 (USA),Franklin J. Schaffner,118 min,"Adventure,Mystery,Thriller"
tt0086992,The Bostonians,September 1984 (UK),James Ivory,122 min,"Drama,Romance"
tt0081974,Absence of Malice,18 December 1981 (USA),Sydney Pollack,116 min,"Drama,Romance,Thriller"
tt0057163,Hud,29 May 1963 (USA),Martin Ritt,112 min,Drama
tt0034240,Sullivan's Travels,December 1941 (USA),Preston Sturges,90 min,"Adventure,Comedy,Drama"
tt0032850,North West Mounted Police,22 October 1940 (USA),Cecil B. DeMille,126 min,"Action,Adventure,Drama"
tt0033226,Virginia City,23 March 1940 (USA),Michael Curtiz,121 min,"Action,Drama,History"
tt0031973,Stanley and Livingstone,18 August 1939 (USA),"Henry King,Otto Brower",101 min,"Adventure,Drama,History"
tt0055312,Pocketful of Miracles,15 February 1962 (Japan),Frank Capra,136 min,"Comedy,Drama"
tt0027996,Mr. Deeds Goes to Town,12 April 1936 (USA),Frank Capra,115 min,"Comedy,Drama,Romance"
tt0022268,Platinum Blonde,31 October 1931 (USA),Frank Capra,89 min,"Comedy,Romance"
tt0022153,The Miracle Woman,7 August 1931 (USA),Frank Capra,90 min,"Drama,Romance"
tt0023464,Shopworn,25 March 1932 (USA),Nick Grinde,72 min,"Drama,Romance"
tt0023775,Baby Face,December 1933 (UK),Alfred E. Green,71 min,"Drama,Romance"
tt0023590,Three on a Match,29 October 1932 (USA),Mervyn LeRoy,63 min,"Crime,Drama,Romance"
tt0024334,Midnight Mary,30 June 1933 (USA),William A. Wellman,74 min,"Crime,Drama,Romance"
tt0024115,Heroes for Sale,17 June 1933 (USA),William A. Wellman,76 min,"Drama,War"
tt0024210,The Kennel Murder Case,28 October 1933 (USA),Michael Curtiz,73 min,Mystery
tt0031047,Another Thin Man,17 November 1939 (USA),W.S. Van Dyke,103 min,"Comedy,Mystery,Drama"
tt0033852,Love Crazy,23 May 1941 (USA),Jack Conway,99 min,"Comedy,Romance"
tt0025091,Evelyn Prentice,9 November 1934 (USA),William K. Howard,79 min,"Drama,Mystery,Romance"
tt0034172,Shadow of the Thin Man,November 1941 (USA),W.S. Van Dyke,97 min,"Comedy,Romance,Drama"
tt0080380,The Apple,21 November 1980 (USA),Menahem Golan,90 min,"Comedy,Fantasy,Music"
tt3486626,The Nut Job 2,2017 (USA),Cal Brunker,,"Animation,Adventure,Comedy"
tt0097733,Lethal Weapon 2,7 July 1989 (USA),Richard Donner,114 min,"Action,Crime,Thriller"
tt0165854,The Limey,4 August 1999 (France),Steven Soderbergh,89 min,"Crime,Drama,Mystery"
tt0110308,The Last Seduction,18 June 1994 (USA),John Dahl,110 min,"Crime,Drama,Thriller"
tt0100150,Miller's Crossing,5 October 1990 (USA),"Joel Coen,Ethan Coen",115 min,"Crime,Drama,Thriller"
tt0119137,Flubber,26 November 1997 (USA),Les Mayfield,93 min,"Comedy,Family,Sci-Fi"
tt0035140,"Now, Voyager",31 October 1942 (USA),Irving Rapper,117 min,"Drama,Romance"
tt0052561,Anatomy of a Murder,September 1959 (Austria),Otto Preminger,160 min,"Crime,Drama,Mystery"
tt3832914,War Room,28 August 2015 (USA),Alex Kendrick,120 min,Drama
tt0144964,Highlander: Endgame,1 September 2000 (USA),Douglas Aarniokoski,87 min,"Action,Adventure,Fantasy"
tt0032551,The Grapes of Wrath,15 March 1940 (USA),John Ford,129 min,Drama
tt0052618,Ben-Hur,26 December 1959 (UK),William Wyler,212 min,"Adventure,Drama,History"
tt0063442,Planet of the Apes,3 April 1968 (USA),Franklin J. Schaffner,112 min,"Adventure,Sci-Fi"
tt0067525,The Omega Man,1 August 1971 (USA),Boris Sagal,98 min,"Action,Sci-Fi"
tt0067756,Silent Running,10 March 1972 (USA),Douglas Trumbull,89 min,"Drama,Sci-Fi"
tt0086567,WarGames,3 June 1983 (USA),John Badham,114 min,"Sci-Fi,Thriller"
tt1288558,Evil Dead,5 April 2013 (USA),Fede Alvarez,91 min,Horror
tt0489270,Saw III,27 October 2006 (USA),Darren Lynn Bousman,108 min,"Horror,Mystery"
tt0414982,Final Destination 3,10 February 2006 (USA),James Wong,93 min,"Horror,Thriller"
tt1144884,The Final Destination,28 August 2009 (USA),David R. Ellis,82 min,"Horror,Thriller"
tt0095990,Return of the Living Dead II,15 January 1988 (USA),Ken Wiederhorn,89 min,"Comedy,Horror"
tt0091630,Night of the Creeps,22 August 1986 (USA),Fred Dekker,88 min,"Comedy,Horror,Sci-Fi"
tt0091083,From Beyond,24 October 1986 (USA),Stuart Gordon,86 min,"Comedy,Horror,Sci-Fi"
tt1610996,Absentia,11 April 2013 (Argentina),Mike Flanagan,87 min,"Drama,Horror,Mystery"
tt1345836,The Dark Knight Rises,20 July 2012 (USA),Christopher Nolan,165 min,"Action,Thriller"
tt0087182,Dune,14 December 1984 (USA),David Lynch,137 min,"Action,Adventure,Sci-Fi"
tt1217613,Battle Los Angeles,11 March 2011 (USA),Jonathan Liebesman,116 min,"Action,Sci-Fi"
tt2470938,American Fetish,12 October 2012 (USA),Michael Simmons,88 min,Crime
tt0181739,Osmosis Jones,10 August 2001 (USA),"Bobby Farrelly,Peter Farrelly",95 min,"Animation,Action,Adventure"
tt0082186,Clash of the Titans,12 June 1981 (USA),Desmond Davis,118 min,"Adventure,Family,Fantasy"
tt0066518,The Vampire Lovers,22 October 1970 (USA),Roy Ward Baker,91 min,Horror
tt0053085,The Mummy,16 December 1959 (USA),Terence Fisher,88 min,"Adventure,Horror"
tt0021814,Dracula,14 February 1931 (USA),Tod Browning,85 min,Horror
tt0024216,King Kong,7 April 1933 (USA),"Merian C. Cooper,Ernest B. Schoedsack",100 min,"Adventure,Fantasy"
tt0390521,Super Size Me,11 June 2004 (USA),Morgan Spurlock,100 min,"Documentary,Comedy,Drama"
tt1014759,Alice in Wonderland,5 March 2010 (USA),Tim Burton,108 min,"Adventure,Family,Fantasy"
tt0304141,Harry Potter and the Prisoner of Azkaban,4 June 2004 (USA),Alfonso Cuarón,142 min,"Adventure,Family,Fantasy"
tt0126029,Shrek,18 May 2001 (USA),"Andrew Adamson,Vicky Jenson",90 min,"Animation,Adventure,Comedy"
tt0110357,The Lion King,24 June 1994 (USA),"Roger Allers,Rob Minkoff",89 min,"Animation,Adventure,Drama"
tt0101414,Beauty and the Beast,22 November 1991 (USA),"Gary Trousdale,Kirk Wise",84 min,"Animation,Family,Fantasy"
tt0120855,Tarzan,18 June 1999 (USA),"Chris Buck,Kevin Lima",88 min,"Animation,Adventure,Family"
tt0120917,The Emperor's New Groove,15 December 2000 (USA),Mark Dindal,78 min,"Animation,Adventure,Comedy"
tt0328880,Brother Bear,1 November 2003 (USA),"Aaron Blaise,Robert Walker",85 min,"Animation,Adventure,Family"
tt0138749,The Road to El Dorado,31 March 2000 (USA),"Bibo Bergeron,Don Paul",89 min,"Animation,Adventure,Comedy"
tt0307453,Shark Tale,1 October 2004 (USA),"Bibo Bergeron,Vicky Jenson",90 min,"Animation,Adventure,Comedy"
tt0366548,Happy Feet,17 November 2006 (USA),"George Miller,Warren Coleman",108 min,"Animation,Comedy,Family"
tt1192628,Rango,4 March 2011 (USA),Gore Verbinski,107 min,"Animation,Adventure,Comedy"
tt0844471,Cloudy with a Chance of Meatballs,18 September 2009 (USA),"Phil Lord,Christopher Miller",90 min,"Animation,Comedy,Family"
tt0479952,Madagascar: Escape 2 Africa,7 November 2008 (USA),"Eric Darnell,Tom McGrath",89 min,"Animation,Action,Adventure"
tt0055614,West Side Story,23 December 1961 (Japan),"Jerome Robbins,Robert Wise",152 min,"Crime,Drama,Musical"
tt0078444,An Unmarried Woman,26 May 1978 (France),Paul Mazursky,124 min,"Comedy,Drama,Romance"
tt0079948,Starting Over,5 October 1979 (USA),Alan J. Pakula,105 min,"Comedy,Romance"
tt0078227,Semi-Tough,June 1978 (Austria),Michael Ritchie,108 min,"Comedy,Romance,Sport"
tt0071771,The Longest Yard,30 August 1974 (USA),Robert Aldrich,121 min,"Comedy,Crime,Drama"
tt0077663,Heaven Can Wait,28 June 1978 (USA),"Warren Beatty,Buck Henry",101 min,"Comedy,Fantasy,Romance"
tt0101516,Bugsy,20 December 1991 (USA),Barry Levinson,136 min,"Biography,Crime,Drama"
tt0104427,Hoffa,25 December 1992 (USA),Danny DeVito,140 min,"Biography,Crime,Drama"
tt0237572,The Pledge,19 January 2001 (USA),Sean Penn,124 min,"Crime,Drama,Mystery"
tt0113041,Father of the Bride Part II,8 December 1995 (USA),Charles Shyer,106 min,Comedy
tt0102250,L.A. Story,8 February 1991 (USA),Mick Jackson,95 min,"Comedy,Drama,Fantasy"
tt0087635,The Lonely Guy,27 January 1984 (USA),Arthur Hiller,90 min,Comedy
tt0082894,Pennies from Heaven,1 January 1982 (USA),Herbert Ross,108 min,"Drama,Musical,Romance"
tt0028092,Pennies from Heaven,25 November 1936 (USA),Norman Z. McLeod,81 min,"Comedy,Drama,Musical"
tt0035369,The Spoilers,8 May 1942 (USA),Ray Enright,87 min,"Drama,Western"
tt0031033,Allegheny Uprising,10 November 1939 (USA),William A. Seiter,81 min,"Adventure,History,Western"
tt0047889,Blood Alley,1 October 1955 (USA),"William A. Wellman,John Wayne",110 min,"Action,Adventure"
tt0036824,The Fighting Seabees,10 July 1944 (UK),Edward Ludwig,100 min,"Drama,Romance,War"
tt0038160,They Were Expendable,20 December 1945 (USA),"John Ford,Robert Montgomery",135 min,"Drama,War"
tt0040369,Fort Apache,14 June 1948 (Brazil),John Ford,125 min,Western
tt0075213,The Shootist,20 August 1976 (USA),Don Siegel,100 min,"Drama,Western"
tt0059740,The Sons of Katie Elder,1 July 1965 (USA),Henry Hathaway,122 min,Western
tt0054127,North to Alaska,7 November 1960 (USA),Henry Hathaway,122 min,"Comedy,Western"
tt0057007,Donovan's Reef,12 June 1963 (USA),John Ford,109 min,"Adventure,Comedy,Romance"
tt0056059,Hatari!,19 June 1962 (USA),Howard Hawks,157 min,"Action,Adventure,Drama"
tt1023114,The Way Back,21 January 2011 (USA),Peter Weir,133 min,"Adventure,Drama,History"
tt0323120,Loving Annabelle,24 May 2007 (Germany),Katherine Brooks,76 min,"Drama,Romance"
tt0113416,The Incredibly True Adventure of Two Girls in Love,16 June 1995 (USA),Maria Maggenti,94 min,"Comedy,Drama,Romance"
tt0118755,The Borrowers,13 February 1998 (USA),Peter Hewitt,89 min,"Comedy,Family,Fantasy"
tt1178665,A Walk in the Woods,2 September 2015 (USA),Ken Kwapis,104 min,"Adventure,Comedy,Drama"
tt2352488,Interior. Leather Bar.,3 October 2013 (Portugal),"James Franco,Travis Mathews",60 min,Drama
tt0094321,Who's That Girl,7 August 1987 (USA),James Foley,92 min,"Comedy,Music,Romance"
tt0089017,Desperately Seeking Susan,12 April 1985 (USA),Susan Seidelman,104 min,"Comedy,Drama"
tt1522198,Hollywood Mouth,,Jordan Mohr,75 min,Drama
tt0052218,Some Came Running,18 December 1958 (USA),Vincente Minnelli,137 min,"Drama,Romance"
tt1032755,RocknRolla,31 October 2008 (USA),Guy Ritchie,114 min,"Action,Crime,Thriller"
tt0120467,Vulgar,26 April 2002 (USA),Bryan Johnson,87 min,"Crime,Drama,Thriller"
tt2783020,Jay and Silent Bob's Super Groovy Cartoon Movie,20 April 2013 (USA),Steve Stark,64 min,"Animation,Comedy"
tt0261392,Jay and Silent Bob Strike Back,24 August 2001 (USA),Kevin Smith,104 min,Comedy
tt0300051,Jersey Girl,26 March 2004 (USA),Kevin Smith,102 min,"Comedy,Drama,Romance"
tt1385867,Cop Out,26 February 2010 (USA),Kevin Smith,107 min,"Action,Comedy,Crime"
tt1144555,Vegasland,2008 (USA),"Kenneth Kit Lamug,Thomas J. Vosicky",90 min,"Comedy,Crime,Drama"
tt3282858,Naomi and Ely's No Kiss List,18 September 2015 (USA),Kristin Hanggi,89 min,"Comedy,Drama,Romance"
tt0080436,Battle Creek Brawl,18 August 1980 (Australia),Robert Clouse,95 min,"Action,Comedy,Crime"
tt0085210,Bad Boys,25 March 1983 (USA),Rick Rosenthal,104 min,"Crime,Drama,Thriller"
tt0085154,All the Right Moves,21 October 1983 (USA),Michael Chapman,91 min,"Drama,Romance,Sport"
tt0104231,Far and Away,22 May 1992 (USA),Ron Howard,140 min,"Adventure,Drama,Romance"
tt0093437,The Lost Boys,31 July 1987 (USA),Joel Schumacher,97 min,"Comedy,Horror"
tt0102945,Sleeping with the Enemy,8 February 1991 (USA),Joseph Ruben,99 min,"Crime,Drama,Thriller"
tt0879870,Eat Pray Love,13 August 2010 (USA),Ryan Murphy,133 min,"Drama,Romance"
tt1583420,Larry Crowne,1 July 2011 (USA),Tom Hanks,98 min,"Comedy,Drama,Romance"
tt1135487,Duplicity,20 March 2009 (USA),Tony Gilroy,125 min,"Crime,Romance,Thriller"
tt0963178,The International,13 February 2009 (USA),Tom Tykwer,118 min,"Action,Crime,Drama"
tt0454848,Inside Man,24 March 2006 (USA),Spike Lee,129 min,"Crime,Drama,Mystery"
tt0071960,The Outfit,October 1973 (USA),John Flynn,103 min,"Crime,Thriller,Drama"
tt0069865,Charley Varrick,1973 (UK),Don Siegel,111 min,"Action,Crime,Drama"
tt0080889,Hopscotch,10 October 1980 (Finland),Ronald Neame,106 min,"Adventure,Comedy"
tt0328107,Man on Fire,23 April 2004 (USA),Tony Scott,146 min,"Action,Crime,Drama"
tt0068168,Across 110th Street,23 March 1973 (Finland),Barry Shear,102 min,"Action,Crime,Drama"
tt0477080,Unstoppable,12 November 2010 (USA),Tony Scott,98 min,"Action,Thriller"
tt1392214,Prisoners,20 September 2013 (USA),Denis Villeneuve,153 min,"Crime,Drama,Mystery"
tt0138704,Pi,10 July 1998 (USA),Darren Aronofsky,84 min,"Drama,Thriller"
tt3152624,Trainwreck,17 July 2015 (USA),Judd Apatow,125 min,"Comedy,Romance"
tt0066093,Monte Walsh,7 October 1970 (USA),William A. Fraker,106 min,Western
tt0071249,Bring Me the Head of Alfredo Garcia,13 March 1975 (Mexico),Sam Peckinpah,112 min,"Action,Crime,Drama"
tt0071338,Cockfighter,August 1974 (USA),Monte Hellman,83 min,Drama
tt0054930,Girl on the Run,15 December 1953 (USA),"Arthur J. Beckhard,Joseph Lee",64 min,"Crime,Mystery"
tt0057517,Soldier in the Rain,27 November 1963 (USA),Ralph Nelson,88 min,"Comedy,Drama"
tt0059037,The Cincinnati Kid,15 October 1965 (USA),Norman Jewison,102 min,Drama
tt0067334,Le Mans,23 June 1971 (USA),Lee H. Katzin,106 min,"Action,Adventure,Drama"
tt0060472,Grand Prix,21 December 1966 (USA),John Frankenheimer,176 min,"Drama,Sport"
tt0059825,The Train,7 March 1965 (USA),"John Frankenheimer,Arthur Penn",133 min,"Thriller,War,Action"
tt0055633,The Young Savages,24 May 1961 (USA),John Frankenheimer,103 min,"Action,Crime,Drama"
tt0063557,The Scalphunters,2 April 1968 (USA),Sydney Pollack,102 min,"Comedy,Western"
tt0069436,Ulzana's Raid,18 October 1972 (USA),Robert Aldrich,103 min,"Adventure,Western"
tt0044683,Hangman's Knot,15 November 1952 (USA),Roy Huggins,81 min,Western
tt0046426,Thunder Over the Plains,27 October 1953 (USA),André De Toth,82 min,"Romance,War,Western"
tt0038213,The Valley of Decision,June 1945 (USA),Tay Garnett,119 min,Drama
tt0082766,Mommie Dearest,18 September 1981 (USA),Frank Perry,129 min,"Biography,Drama"
tt0058620,Strait-Jacket,19 January 1964 (USA),William Castle,93 min,"Drama,Horror,Thriller"
tt0019290,The Power of the Press,31 October 1928 (USA),Frank Capra,62 min,Drama
tt0019152,The Mating Call,21 July 1928 (USA),James Cruze,72 min,Drama
tt1969062,Infinitely Polar Bear,19 June 2015 (USA),Maya Forbes,90 min,"Comedy,Drama"
tt1502712,Fantastic Four,7 August 2015 (USA),Josh Trank,100 min,"Action,Adventure,Sci-Fi"
tt0238321,Ivansxtc,19 July 2002 (UK),Bernard Rose,93 min,Drama
tt0111252,Spanking the Monkey,15 July 1994 (USA),David O. Russell,100 min,"Comedy,Drama"
tt0840361,The Town,17 September 2010 (USA),Ben Affleck,125 min,"Crime,Drama,Thriller"
tt0408839,The Heartbreak Kid,5 October 2007 (USA),"Bobby Farrelly,Peter Farrelly",116 min,"Comedy,Romance"
tt0765443,Eastern Promises,21 September 2007 (USA),David Cronenberg,100 min,"Crime,Thriller"
tt0286106,Signs,2 August 2002 (USA),M. Night Shyamalan,106 min,"Drama,Sci-Fi,Thriller"
tt0120780,Out of Sight,26 June 1998 (USA),Steven Soderbergh,123 min,"Comedy,Crime,Romance"
tt0110478,Maverick,20 May 1994 (USA),Richard Donner,127 min,"Action,Adventure,Comedy"
tt1542344,127 Hours,28 January 2011 (USA),Danny Boyle,94 min,"Adventure,Biography,Drama"
tt0080928,Inside Moves,20 August 1981 (Argentina),Richard Donner,113 min,Drama
tt0338466,Stuck on You,12 December 2003 (USA),"Bobby Farrelly,Peter Farrelly",118 min,Comedy
tt0134119,The Talented Mr. Ripley,25 December 1999 (USA),Anthony Minghella,139 min,"Crime,Drama,Thriller"
tt0875034,Nine,25 December 2009 (USA),Rob Marshall,118 min,"Drama,Musical,Romance"
tt0062741,The Blood of Fu Manchu,24 September 1969 (USA),Jesús Franco,92 min,"Adventure,Crime"
tt0032420,Drums of Fu Manchu,15 March 1940 (USA),"John English,William Witney",269 min,"Action,Adventure"
tt0045064,Radar Men from the Moon,9 January 1952 (USA),Fred C. Brannon,167 min,"Action,Sci-Fi"
tt0053593,The Amazing Transparent Man,July 1960 (USA),Edgar G. Ulmer,58 min,Sci-Fi
tt1211956,Escape Plan,18 October 2013 (USA),Mikael Håfström,115 min,"Action,Mystery,Thriller"
tt0462499,Rambo,25 January 2008 (USA),Sylvester Stallone,92 min,"Action,Thriller,War"
tt0083944,First Blood,22 October 1982 (USA),Ted Kotcheff,93 min,"Action,Thriller"
tt0118887,Cop Land,15 August 1997 (USA),James Mangold,104 min,"Crime,Drama,Thriller"
tt0110367,Little Women,25 December 1994 (USA),Gillian Armstrong,115 min,"Drama,Romance"
tt3722118,God the Father,31 October 2014 (USA),Simon Fellows,101 min,Documentary
tt0096332,The Unbearable Lightness of Being,5 February 1988 (USA),Philip Kaufman,171 min,"Drama,Romance"
tt1790885,Zero Dark Thirty,11 January 2013 (USA),Kathryn Bigelow,157 min,"Drama,History,Thriller"
tt3224036,The Labyrinth,2015 (USA),"John Berardo,Jessica Kaye",,"Fantasy,Horror,Sci-Fi"
tt2735292,L.A. Slasher,26 June 2015 (USA),Martin Owen,86 min,"Comedy,Crime,Fantasy"
tt0276198,Horse Crazy,,Eric Hendershot,84 min,Family
tt1707386,Les Misérables,25 December 2012 (USA),Tom Hooper,158 min,"Drama,Musical,Romance"
tt1060277,Cloverfield,18 January 2008 (USA),Matt Reeves,85 min,"Adventure,Horror,Sci-Fi"
tt0096166,Stars and Bars,18 March 1988 (USA),Pat O'Connor,94 min,Comedy
tt0011387,The Last of the Mohicans,21 November 1920 (USA),"Clarence Brown,Maurice Tourneur",73 min,"Adventure,Drama"
tt0022495,Trader Horn,23 May 1931 (USA),W.S. Van Dyke,122 min,"Adventure,Romance"
tt0027869,The Last of the Mohicans,4 September 1936 (USA),George B. Seitz,91 min,"Adventure,Drama,History"
tt3487994,Bloodsucking Bastards,4 September 2015 (USA),Brian James O'Connell,86 min,"Comedy,Horror"
